record_id,date,weather_station,district,rainfall_mm,max_temperature_c,min_temperature_c,flood_incidents,water_supply_interruptions,crop_yield_index,school_closure_days,district_policy_pressure_index
51,2023-02-14,Komenda,Cape Coast,76.0,29.0,22.2,1,0,87.7,2,45.5
52,2024-04-27,Elmina,Elmina,46.7,30.7,24.2,1,4,90.2,1,41.0
53,2023-09-22,Winneba,Elmina,33.0,29.7,20.4,1,0,83.4,1,50.6
54,2021-03-09,Cape Coast South,Abura Asebu Kwamankese,53.1,32.4,22.4,1,1,92.4,0,48.9
55,2021-01-26,Mankessim,Elmina,66.6,30.1,25.1,0,1,90.1,0,45.8
56,2021-02-28,Cape Coast South,Cape Coast,64.9,29.0,23.2,0,3,89.8,0,44.6
57,2021-03-18,Elmina,Ekumfi,79.1,32.5,25.8,1,5,85.8,1,29.2
58,2021-07-22,Mankessim,Mfantsiman,71.8,29.2,25.3,1,1,88.9,2,40.3
59,2024-08-11,Elmina,Ekumfi,93.9,33.5,23.1,0,3,78.1,1,28.9
60,2021-02-03,Cape Coast North,Cape Coast,50.4,29.8,24.5,2,1,96.2,1,40.6
61,2025-04-10,Cape Coast South,Cape Coast,40.2,31.7,25.0,0,0,90.5,0,44.2
62,2022-09-27,Cape Coast North,Cape Coast,72.5,33.5,24.7,2,4,99.7,0,33.2
63,2021-03-26,Elmina,Elmina,111.7,28.1,25.9,2,0,89.1,0,69.4
64,2023-07-21,Mankessim,Elmina,48.3,32.7,23.8,0,1,90.3,1,60.0
65,2021-07-13,Elmina,Ekumfi,26.9,31.2,26.2,0,1,93.8,1,30.3
66,2024-05-25,Elmina,Komenda,91.0,35.4,23.1,2,6,92.0,1,40.3
67,2021-12-18,Winneba,Abura Asebu Kwamankese,106.2,33.1,25.1,0,2,92.1,2,58.9
68,2023-08-19,Winneba,Ekumfi,71.3,33.5,24.5,1,6,87.4,0,31.2
69,2021-12-19,Cape Coast North,Cape Coast,35.2,32.6,22.0,0,5,95.6,0,44.6
70,2024-11-14,Elmina,Komenda,20.4,31.9,24.1,1,3,92.3,1,58.0
71,2025-08-08,Cape Coast North,Ekumfi,60.1,33.8,23.6,0,1,102.2,0,47.4
72,2023-04-28,Cape Coast North,Ekumfi,64.6,31.9,21.3,1,3,90.6,0,53.6
73,2021-10-21,Mankessim,Ekumfi,32.6,33.1,27.2,1,2,101.8,0,30.9
74,2024-09-27,Mankessim,Cape Coast,62.5,29.7,23.3,0,3,95.5,1,35.1
75,2024-08-13,Winneba,Komenda,117.9,28.9,24.0,3,2,88.7,0,47.5
76,2025-01-18,Komenda,Ekumfi,47.3,28.2,23.3,0,5,99.0,0,36.1
77,2023-02-09,Winneba,Mfantsiman,77.5,30.3,26.8,0,1,91.3,1,54.0
78,2023-06-16,Cape Coast North,Abura Asebu Kwamankese,89.6,32.1,25.6,0,7,78.0,0,37.8
79,2021-01-19,Winneba,Ekumfi,49.2,29.3,25.4,0,3,88.7,0,41.3
80,2025-08-07,Elmina,Cape Coast,87.2,32.5,25.7,0,3,87.7,0,20.7
81,2021-02-03,Elmina,Komenda,68.2,32.1,24.9,3,3,91.1,0,44.8
82,2025-10-23,Cape Coast South,Abura Asebu Kwamankese,61.4,28.2,24.7,1,2,96.1,0,32.0
83,2024-05-08,Komenda,Mfantsiman,68.8,31.2,23.8,1,3,84.7,0,35.1
84,2022-04-19,Winneba,Cape Coast,141.1,30.4,22.8,1,3,70.3,2,38.0
85,2023-02-18,Komenda,Mfantsiman,95.0,31.7,23.6,1,2,84.2,3,50.4
86,2025-10-04,Cape Coast South,Elmina,65.0,31.4,21.4,0,2,93.3,0,41.9
87,2021-11-20,Elmina,Abura Asebu Kwamankese,90.3,32.3,23.4,0,3,87.6,0,55.6
88,2023-08-05,Cape Coast North,Cape Coast,104.7,31.9,22.6,4,2,80.0,0,57.7
89,2023-01-08,Winneba,Ekumfi,28.1,29.5,25.7,0,3,96.4,0,36.8
90,2022-11-20,Mankessim,Ekumfi,28.1,28.9,26.5,0,4,94.9,0,24.6
91,2024-12-01,Elmina,Komenda,53.5,31.3,24.8,1,4,89.6,0,39.1
92,2025-07-24,Cape Coast South,Mfantsiman,116.4,32.1,23.6,0,5,105.4,2,47.8
93,2024-06-02,Cape Coast North,Komenda,45.5,33.4,24.2,1,1,80.6,2,36.9
94,2022-02-20,Elmina,Cape Coast,135.3,33.4,22.1,1,1,78.1,2,40.7
95,2024-04-20,Elmina,Cape Coast,135.4,31.5,24.9,2,5,88.4,1,34.3
96,2025-08-11,Elmina,Elmina,188.6,31.3,24.2,2,5,80.0,0,42.9
97,2021-03-18,Winneba,Elmina,139.9,32.9,24.7,1,2,80.6,1,38.7
98,2023-08-21,Winneba,Elmina,85.6,29.9,23.7,2,7,81.7,1,32.9
99,2025-02-09,Mankessim,Mfantsiman,44.6,31.5,22.1,1,7,81.9,2,35.3
100,2022-10-20,Cape Coast North,Cape Coast,22.7,30.9,24.1,0,4,99.1,1,38.8
101,2025-01-17,Winneba,Mfantsiman,30.6,29.4,26.0,0,1,91.7,1,48.4
102,2024-07-17,Cape Coast South,Ekumfi,43.1,29.9,24.2,0,0,97.1,0,44.6
103,2023-04-16,Cape Coast North,Cape Coast,13.0,34.3,25.9,1,1,82.9,1,59.0
104,2022-10-01,Elmina,Abura Asebu Kwamankese,132.3,30.3,23.0,3,4,92.8,0,43.1
105,2024-01-19,Cape Coast South,Mfantsiman,128.2,31.1,25.6,2,1,89.0,0,29.3
106,2024-01-05,Elmina,Mfantsiman,92.9,29.7,27.6,2,3,83.4,0,41.0
107,2024-04-27,Cape Coast North,Cape Coast,58.4,36.2,26.4,1,2,94.3,2,38.1
108,2024-04-04,Mankessim,Mfantsiman,72.7,29.0,22.6,1,1,92.9,1,50.5
109,2024-10-27,Elmina,Komenda,87.7,27.9,22.8,1,1,94.2,0,49.5
110,2023-09-15,Komenda,Abura Asebu Kwamankese,93.1,32.5,20.8,0,0,84.6,1,48.1
111,2021-05-14,Cape Coast South,Komenda,48.7,29.7,24.4,1,6,83.6,2,45.3
112,2025-11-01,Mankessim,Abura Asebu Kwamankese,78.1,27.4,23.4,1,4,78.9,1,47.0
113,2023-01-31,Mankessim,Ekumfi,55.1,31.1,26.2,2,5,86.4,1,52.5
114,2021-08-24,Mankessim,Ekumfi,53.6,31.7,25.1,0,4,78.5,1,45.3
115,2021-06-21,Cape Coast North,Cape Coast,60.7,30.4,22.6,2,7,94.7,0,39.3
116,2024-01-24,Cape Coast North,Mfantsiman,22.0,30.4,25.8,0,3,90.1,1,51.6
117,2024-06-01,Elmina,Abura Asebu Kwamankese,75.9,30.3,24.3,0,2,81.3,1,46.7
118,2025-12-01,Elmina,Ekumfi,93.0,34.8,21.9,0,4,93.8,2,44.4
119,2022-06-24,Cape Coast South,Cape Coast,26.4,30.8,24.0,1,6,95.4,0,31.8
120,2024-03-04,Winneba,Ekumfi,28.7,33.3,25.4,0,3,92.0,1,31.6
121,2022-10-11,Cape Coast South,Abura Asebu Kwamankese,76.8,31.1,23.1,0,1,100.2,2,40.9
122,2023-08-21,Mankessim,Mfantsiman,40.6,30.8,24.3,2,1,97.3,1,57.0
123,2023-04-01,Komenda,Abura Asebu Kwamankese,51.7,28.9,23.2,0,4,91.2,1,37.7
124,2021-08-13,Cape Coast South,Komenda,45.4,32.0,22.9,0,2,92.3,1,37.0
125,2021-01-19,Elmina,Ekumfi,77.5,31.3,24.7,1,1,77.3,0,40.0
126,2025-08-07,Winneba,Ekumfi,62.5,34.8,23.6,0,1,80.1,0,55.7
127,2021-05-11,Winneba,Abura Asebu Kwamankese,24.3,30.4,19.9,0,2,84.5,2,27.0
128,2023-02-13,Cape Coast South,Abura Asebu Kwamankese,122.0,28.9,24.5,1,5,72.3,2,27.6
129,2021-04-12,Komenda,Ekumfi,59.1,35.1,24.2,0,1,86.7,0,33.1
130,2022-04-22,Cape Coast South,Cape Coast,117.7,34.7,23.8,0,5,100.0,1,31.7
131,2023-06-01,Cape Coast North,Abura Asebu Kwamankese,103.3,34.5,24.0,1,3,83.2,0,47.9
132,2024-08-26,Winneba,Abura Asebu Kwamankese,143.5,30.9,22.0,2,3,85.5,3,38.8
133,2024-01-27,Cape Coast North,Cape Coast,47.9,33.6,24.9,1,3,95.6,0,27.9
134,2025-01-25,Komenda,Elmina,240.5,28.0,23.7,4,4,73.8,4,54.5
135,2024-07-29,Komenda,Komenda,106.7,32.1,24.3,2,2,87.3,3,50.6
136,2023-11-24,Elmina,Cape Coast,27.3,30.2,27.6,0,1,90.3,1,57.1
137,2021-09-22,Cape Coast South,Elmina,125.8,32.4,24.8,1,3,80.1,1,65.9
138,2022-11-26,Cape Coast South,Abura Asebu Kwamankese,5.3,29.4,21.9,0,4,95.2,1,34.4
139,2022-02-21,Mankessim,Mfantsiman,56.8,33.3,24.8,1,2,87.6,0,54.7
140,2024-11-27,Cape Coast South,Ekumfi,80.3,33.0,24.3,0,2,83.7,1,33.3
141,2023-08-27,Cape Coast North,Abura Asebu Kwamankese,30.4,31.2,25.6,0,1,90.7,0,46.8
142,2024-08-11,Mankessim,Abura Asebu Kwamankese,36.7,29.3,24.5,0,3,86.5,0,25.1
143,2023-10-27,Komenda,Mfantsiman,118.4,28.6,25.5,3,4,93.9,1,45.8
144,2024-07-26,Mankessim,Mfantsiman,35.3,33.3,20.4,0,3,98.3,2,52.7
145,2025-05-12,Komenda,Komenda,69.0,29.3,24.3,0,3,95.6,0,62.5
146,2024-02-07,Mankessim,Cape Coast,63.6,34.3,24.5,0,2,87.8,1,43.1
147,2022-10-11,Cape Coast North,Ekumfi,29.4,33.2,23.0,0,2,84.4,0,31.8
148,2025-11-20,Cape Coast South,Mfantsiman,73.0,29.7,22.6,0,4,95.3,0,51.5
149,2023-02-17,Cape Coast South,Cape Coast,85.1,31.1,23.5,2,2,76.1,1,54.8
150,2023-02-21,Cape Coast North,Komenda,111.4,31.0,25.7,2,2,95.2,0,49.1
151,2023-02-24,Mankessim,Mfantsiman,62.6,27.7,24.4,1,3,103.7,1,37.9
152,2025-07-18,Mankessim,Cape Coast,51.4,28.1,23.4,0,4,98.2,0,30.2
153,2022-03-28,Elmina,Komenda,100.7,30.8,25.7,0,2,87.0,2,43.6
154,2021-04-21,Elmina,Ekumfi,81.0,31.1,22.2,2,3,80.1,2,49.2
155,2021-11-30,Mankessim,Cape Coast,116.8,31.9,24.9,1,3,83.0,3,40.6
156,2023-11-14,Mankessim,Cape Coast,18.3,29.4,23.7,0,2,90.7,0,45.2
157,2022-06-09,Cape Coast South,Mfantsiman,59.9,30.6,24.7,1,5,92.6,1,40.6
158,2025-05-14,Cape Coast South,Komenda,78.6,32.4,21.7,1,3,90.1,0,59.5
159,2023-02-06,Cape Coast North,Abura Asebu Kwamankese,76.9,29.4,26.9,1,2,99.8,1,52.5
160,2021-07-12,Winneba,Mfantsiman,60.0,34.5,26.1,0,3,87.7,0,59.8
161,2023-11-28,Komenda,Abura Asebu Kwamankese,43.5,30.4,23.0,0,1,98.6,0,35.0
162,2022-10-19,Cape Coast South,Elmina,34.1,30.0,22.4,0,3,93.7,1,47.1
163,2025-08-05,Mankessim,Elmina,187.8,35.1,25.5,2,8,79.1,2,37.1
164,2022-04-10,Cape Coast South,Cape Coast,196.4,30.4,25.0,4,4,80.9,5,51.5
165,2023-07-31,Winneba,Elmina,33.8,32.5,21.3,0,4,97.0,1,34.6
166,2024-03-13,Elmina,Elmina,80.0,28.7,24.4,1,1,77.1,2,36.3
167,2022-08-06,Komenda,Komenda,78.5,31.0,26.4,1,1,80.6,1,35.3
168,2023-09-29,Winneba,Abura Asebu Kwamankese,127.1,31.4,25.1,1,3,76.5,0,53.6
169,2023-10-16,Cape Coast North,Cape Coast,35.5,32.8,25.0,2,2,94.9,0,41.4
170,2022-03-07,Elmina,Elmina,68.4,32.4,26.7,1,3,93.6,0,45.9
171,2021-03-17,Komenda,Cape Coast,60.6,28.9,22.7,0,4,82.6,0,20.2
172,2021-01-23,Elmina,Abura Asebu Kwamankese,83.1,35.4,24.3,2,6,92.0,0,34.2
173,2025-02-20,Winneba,Komenda,84.1,31.6,27.1,1,4,86.4,1,43.8
174,2022-09-16,Komenda,Ekumfi,34.4,33.4,22.5,0,1,92.3,0,38.5
175,2024-11-14,Cape Coast South,Elmina,26.6,27.6,23.0,2,0,97.1,0,42.7
176,2023-01-17,Cape Coast North,Cape Coast,41.5,31.7,22.9,0,5,87.6,0,44.7
177,2024-06-27,Elmina,Ekumfi,30.6,29.6,26.4,0,2,96.9,1,40.0
178,2023-07-23,Mankessim,Cape Coast,58.4,31.5,25.2,0,2,104.5,1,44.5
179,2021-01-30,Cape Coast North,Ekumfi,131.3,32.0,24.6,1,0,83.1,0,46.1
180,2022-06-18,Elmina,Cape Coast,58.4,30.8,22.0,0,2,98.6,2,49.9
181,2022-05-28,Elmina,Ekumfi,21.8,33.1,22.2,0,5,98.7,0,24.3
182,2025-03-02,Mankessim,Cape Coast,84.7,31.0,23.6,3,3,84.7,2,57.7
183,2024-02-22,Elmina,Komenda,48.9,29.9,24.3,0,3,96.7,1,46.7
184,2025-01-14,Cape Coast North,Abura Asebu Kwamankese,97.6,31.4,23.6,1,4,84.1,0,45.8
185,2025-06-28,Cape Coast South,Elmina,37.1,32.0,22.9,0,3,100.2,0,46.8
186,2022-07-06,Elmina,Cape Coast,106.3,32.2,23.4,2,3,96.7,1,34.7
187,2025-11-28,Winneba,Cape Coast,74.2,31.6,21.9,2,2,88.8,0,48.8
188,2025-02-17,Mankessim,Komenda,14.3,32.8,25.9,0,3,88.1,1,44.6
189,2024-01-29,Winneba,Ekumfi,80.2,32.4,22.5,0,3,93.1,0,34.0
190,2023-09-20,Mankessim,Elmina,57.4,30.6,24.9,2,7,89.1,0,45.5
191,2024-12-26,Cape Coast North,Cape Coast,79.6,29.9,24.0,0,6,88.8,0,36.3
192,2025-06-26,Cape Coast North,Mfantsiman,53.3,29.4,23.0,0,8,89.9,1,46.1
193,2024-10-20,Winneba,Ekumfi,84.2,29.6,24.5,0,2,97.3,0,49.0
194,2024-08-11,Mankessim,Abura Asebu Kwamankese,90.6,32.3,25.0,2,4,85.1,1,49.8
195,2022-11-20,Cape Coast South,Abura Asebu Kwamankese,102.1,30.4,24.2,0,5,85.9,1,32.5
196,2023-04-09,Cape Coast South,Cape Coast,29.7,30.7,24.3,0,3,101.4,0,55.7
197,2022-09-16,Komenda,Komenda,84.6,28.2,21.8,1,4,85.3,0,42.4
198,2025-09-14,Elmina,Ekumfi,89.8,34.3,24.2,1,0,84.4,1,45.5
199,2022-01-17,Mankessim,Abura Asebu Kwamankese,84.3,31.3,25.6,2,5,93.9,1,50.4
200,2023-01-06,Winneba,Abura Asebu Kwamankese,34.8,27.9,25.8,1,3,96.1,1,37.4
201,2023-11-09,Mankessim,Cape Coast,26.6,28.3,25.2,1,1,83.1,0,60.8
202,2021-10-04,Cape Coast North,Cape Coast,43.7,31.4,24.3,0,0,81.7,0,68.7
203,2024-01-04,Winneba,Abura Asebu Kwamankese,98.2,31.4,26.1,0,4,90.5,2,24.7
204,2023-11-09,Winneba,Mfantsiman,33.9,30.6,23.8,2,3,85.3,0,62.8
205,2025-08-19,Cape Coast North,Mfantsiman,57.1,35.3,24.8,1,1,93.0,1,47.5
206,2023-09-19,Winneba,Komenda,50.9,30.1,25.6,0,2,86.2,2,32.7
207,2023-05-08,Mankessim,Komenda,80.0,34.5,25.3,1,3,97.3,0,30.3
208,2023-02-26,Cape Coast South,Komenda,33.7,29.7,23.8,1,5,95.1,0,16.2
209,2022-10-17,Elmina,Cape Coast,78.3,29.2,23.3,0,5,79.5,0,27.0
210,2021-09-18,Cape Coast South,Komenda,66.3,29.5,24.9,1,4,92.8,1,43.9
211,2022-06-08,Winneba,Elmina,83.6,28.3,22.4,0,1,94.3,1,35.5
212,2025-02-25,Cape Coast South,Abura Asebu Kwamankese,35.1,26.4,23.7,2,1,93.4,1,37.7
213,2025-04-08,Komenda,Elmina,36.9,31.8,23.6,0,4,88.3,2,31.1
214,2024-06-28,Winneba,Komenda,39.5,30.4,22.9,0,3,95.2,1,38.1
215,2024-08-21,Komenda,Abura Asebu Kwamankese,106.9,32.8,24.2,2,1,91.5,0,42.7
216,2023-04-29,Mankessim,Cape Coast,68.8,30.2,25.1,2,3,93.3,0,37.8
217,2021-01-11,Cape Coast South,Cape Coast,77.9,27.0,24.5,2,3,88.2,2,55.2
218,2024-01-24,Mankessim,Mfantsiman,32.6,29.2,27.4,0,1,98.9,0,55.7
219,2021-02-27,Cape Coast North,Elmina,22.9,30.2,23.3,0,5,84.4,0,9.9
220,2025-03-13,Elmina,Abura Asebu Kwamankese,29.1,32.1,23.2,2,3,83.8,0,44.1
221,2021-04-22,Cape Coast North,Elmina,61.6,30.9,23.3,1,2,88.1,1,44.1
222,2023-08-26,Komenda,Mfantsiman,66.3,30.8,23.1,1,4,101.8,0,22.2
223,2022-02-28,Mankessim,Ekumfi,69.5,30.9,24.1,1,0,101.2,1,43.3
224,2025-06-20,Cape Coast North,Ekumfi,61.1,30.3,24.2,1,1,100.0,0,42.5
225,2024-07-13,Komenda,Abura Asebu Kwamankese,42.0,28.7,27.4,1,4,92.0,1,46.8
226,2023-07-24,Cape Coast North,Mfantsiman,85.5,33.8,26.7,1,4,76.1,0,35.0
227,2022-09-06,Elmina,Cape Coast,37.7,29.9,26.2,0,2,95.4,1,30.4
228,2024-04-17,Winneba,Cape Coast,29.4,29.2,24.9,2,4,88.5,0,58.0
229,2022-07-11,Elmina,Abura Asebu Kwamankese,54.9,29.5,23.4,1,1,95.9,0,42.3
230,2023-06-06,Cape Coast South,Cape Coast,43.1,29.5,23.4,0,4,94.7,0,34.7
231,2022-08-05,Mankessim,Mfantsiman,25.2,31.3,21.9,0,7,107.5,0,18.7
232,2025-10-29,Cape Coast South,Mfantsiman,70.8,28.5,22.9,0,5,102.4,1,33.7
233,2022-04-04,Cape Coast North,Komenda,69.0,31.0,23.5,1,2,84.5,0,47.6
234,2025-12-15,Elmina,Komenda,98.0,34.6,25.9,2,4,88.1,1,41.5
235,2023-01-07,Cape Coast South,Cape Coast,38.1,27.5,24.7,2,0,90.3,0,38.4
236,2021-02-10,Winneba,Elmina,56.1,32.6,25.2,1,1,87.4,0,42.0
237,2024-05-13,Cape Coast North,Komenda,92.9,32.6,24.8,4,4,87.8,3,43.9
238,2025-06-27,Komenda,Elmina,70.7,30.2,23.9,0,6,76.9,2,35.0
239,2021-07-16,Cape Coast North,Komenda,113.8,27.0,25.0,2,3,81.7,0,59.2
240,2022-11-24,Elmina,Abura Asebu Kwamankese,65.4,31.7,25.4,0,3,97.7,0,48.3
241,2025-01-11,Elmina,Ekumfi,108.3,31.0,23.4,2,3,64.3,1,56.1
242,2025-02-16,Winneba,Cape Coast,125.0,34.1,26.1,1,3,73.9,1,20.7
243,2025-05-01,Cape Coast North,Komenda,72.6,30.7,23.7,1,2,97.3,2,41.2
244,2022-02-13,Cape Coast North,Ekumfi,63.0,30.3,22.6,1,4,99.3,1,44.5
245,2023-04-16,Mankessim,Abura Asebu Kwamankese,65.1,31.1,22.5,3,3,80.7,0,41.4
246,2022-07-13,Elmina,Ekumfi,71.9,32.2,24.1,1,3,97.4,1,35.4
247,2024-06-24,Cape Coast North,Cape Coast,39.7,30.0,25.0,1,4,98.8,0,45.1
248,2025-12-26,Cape Coast South,Elmina,62.1,32.2,23.7,0,1,91.5,0,40.5
249,2023-03-03,Cape Coast South,Elmina,60.2,32.0,24.5,1,1,88.7,1,44.0
250,2021-04-16,Cape Coast North,Komenda,90.1,32.0,22.6,1,5,94.1,2,45.6
251,2021-03-26,Cape Coast South,Komenda,72.6,32.6,24.7,1,4,87.8,1,68.0
252,2025-05-13,Elmina,Elmina,108.3,28.3,25.1,3,3,87.8,1,45.0
253,2025-11-04,Komenda,Elmina,97.3,28.8,23.4,3,1,94.1,0,56.6
254,2025-01-22,Cape Coast North,Abura Asebu Kwamankese,84.5,27.7,22.1,2,2,84.2,2,55.4
255,2023-03-06,Mankessim,Elmina,22.9,32.0,22.4,0,3,90.8,0,52.5
256,2023-10-05,Winneba,Ekumfi,57.5,33.7,24.3,1,1,100.4,3,40.4
257,2024-08-20,Cape Coast North,Mfantsiman,32.9,32.0,25.2,0,2,85.0,1,47.3
258,2025-10-31,Elmina,Komenda,71.6,29.7,22.1,1,3,94.7,0,46.0
259,2021-10-24,Winneba,Mfantsiman,50.2,32.1,24.3,0,4,92.1,1,35.1
260,2021-11-26,Winneba,Mfantsiman,92.1,30.5,21.8,1,6,91.6,1,35.6
261,2023-06-26,Komenda,Komenda,57.6,31.7,26.1,0,4,91.6,0,40.1
262,2024-04-09,Cape Coast North,Mfantsiman,140.5,30.6,25.3,1,0,79.1,0,37.4
263,2025-10-03,Cape Coast North,Ekumfi,74.3,32.7,25.8,0,0,76.1,1,46.5
264,2022-05-05,Winneba,Komenda,56.0,29.8,25.0,1,5,80.8,1,40.9
265,2023-06-18,Cape Coast South,Mfantsiman,34.5,28.0,24.7,0,4,89.3,1,29.7
266,2022-07-15,Cape Coast North,Cape Coast,116.4,32.2,20.3,3,5,91.7,0,40.1
267,2024-04-15,Cape Coast North,Cape Coast,89.6,32.9,24.8,4,4,90.6,0,55.0
268,2023-07-29,Cape Coast South,Cape Coast,40.4,29.5,22.8,0,2,99.4,0,30.6
269,2022-01-25,Mankessim,Ekumfi,48.1,31.4,25.4,3,3,95.0,0,57.8
270,2022-08-06,Mankessim,Elmina,86.2,29.9,22.7,1,2,88.0,1,54.5
271,2022-10-29,Mankessim,Ekumfi,145.1,33.8,22.2,1,6,91.7,3,40.4
272,2021-09-12,Komenda,Mfantsiman,77.8,31.3,23.5,0,2,90.8,0,49.0
273,2021-06-27,Cape Coast North,Mfantsiman,32.8,30.6,24.7,0,3,100.7,0,42.9
274,2021-08-02,Elmina,Abura Asebu Kwamankese,30.0,30.1,24.1,1,3,94.1,1,32.8
275,2025-07-15,Cape Coast South,Elmina,66.0,31.9,24.2,2,3,83.6,2,37.8
276,2025-06-18,Cape Coast North,Mfantsiman,145.9,28.6,23.2,1,7,86.6,3,34.6
277,2021-12-08,Cape Coast South,Komenda,23.0,27.4,25.3,0,4,92.9,2,47.3
278,2021-05-31,Cape Coast South,Komenda,93.8,33.7,24.7,0,3,80.4,0,30.7
279,2024-05-12,Komenda,Ekumfi,43.4,31.9,25.8,1,4,102.9,0,53.9
280,2022-08-01,Komenda,Ekumfi,94.6,33.7,22.0,1,0,87.5,2,33.6
281,2025-12-26,Winneba,Ekumfi,78.1,34.3,23.5,3,2,87.6,1,49.8
282,2023-01-03,Cape Coast North,Ekumfi,66.5,31.7,26.6,0,4,84.4,0,47.2
283,2024-07-17,Komenda,Elmina,62.8,32.3,25.6,0,4,83.1,0,37.7
