market_record_id,date,region,district,market_name,commodity,price_ghs,wholesale_price_ghs,quantity_available_kg,seller_type,mobile_money_acceptance,market_centre_type
51,2024-05-25,Western,Shama,Ho Main Market,yam,18.02,15.85,123,aggregator,yes,urban
52,2025-11-15,Upper West,Wa,Keta Market,plantain,11.96,10.98,515,aggregator,yes,urban
53,2023-11-09,Central,Komenda,Ho Main Market,yam,14.14,13.02,233,aggregator,no,urban
54,2025-04-11,Northern,Savelugu,Kejetia,rice,11.62,10.54,132,aggregator,no,rural
55,2023-10-24,Oti,Jasikan,Kotokuraba,sardine,12.47,10.6,331,aggregator,yes,peri-urban
56,2023-11-15,Upper West,Jirapa,Keta Market,pepper,13.79,12.5,588,wholesaler,yes,peri-urban
57,2025-01-09,Oti,Nkwanta South,Techiman Market,plantain,17.28,14.68,120,wholesaler,yes,urban
58,2022-12-02,Oti,Kadjebi,Keta Market,rice,15.61,13.2,103,aggregator,yes,urban
59,2022-08-13,Upper East,Bolgatanga,Aboabo Market,pepper,12.72,11.27,321,wholesaler,no,urban
60,2024-05-20,Oti,Jasikan,Ho Main Market,maize,13.73,12.38,592,aggregator,no,rural
61,2022-02-04,Eastern,Nsawam,Ho Main Market,pepper,15.67,12.95,236,aggregator,yes,peri-urban
62,2022-07-07,North East,Nalerigu,Makola,rice,17.01,14.07,587,aggregator,yes,urban
63,2025-06-01,Central,Mfantsiman,Takoradi Market,tomato,7.91,7.23,560,wholesaler,no,urban
64,2023-10-05,Central,Komenda,Keta Market,tomato,9.23,8.52,111,retailer,no,peri-urban
65,2024-08-20,Bono,Dormaa,Kotokuraba,yam,19.84,17.71,471,aggregator,no,rural
66,2024-08-25,Greater Accra,Tema,Keta Market,onion,13.18,11.49,90,aggregator,no,rural
67,2023-05-09,Ashanti,Ejisu,Agbogbloshie,maize,11.61,10.7,544,retailer,no,rural
68,2022-11-07,Savannah,Sawla,Takoradi Market,pepper,12.28,11.14,420,wholesaler,no,peri-urban
69,2023-06-05,Upper East,Navrongo,Techiman Market,rice,12.28,10.92,100,retailer,yes,rural
70,2023-01-04,Bono,Wenchi,Aboabo Market,cassava,16.37,14.05,119,aggregator,yes,urban
71,2024-01-16,Western,Tarkwa,Agbogbloshie,maize,9.14,7.71,237,retailer,no,rural
72,2022-01-31,Ashanti,Mampong,Techiman Market,tomato,13.58,11.82,144,aggregator,yes,peri-urban
73,2025-06-09,Western North,Juaboso,Kejetia,sardine,14.67,12.53,220,wholesaler,yes,rural
74,2024-09-24,Western,Axim,Makola,cassava,15.47,13.32,21,wholesaler,no,peri-urban
75,2023-05-12,Upper West,Tumu,Agbogbloshie,onion,14.56,12.84,593,wholesaler,no,peri-urban
76,2024-08-21,North East,Chereponi,Kejetia,pepper,16.13,13.55,39,aggregator,yes,rural
77,2025-04-13,Bono East,Nkoranza,Makola,cassava,11.02,10.1,199,wholesaler,no,urban
78,2022-10-25,Oti,Jasikan,Agbogbloshie,rice,9.68,8.11,428,retailer,no,peri-urban
79,2025-10-20,North East,Bunkpurugu,Keta Market,plantain,31.82,27.93,81,wholesaler,yes,rural
80,2025-01-14,North East,Walewale,Makola,plantain,12.12,11.02,292,aggregator,yes,peri-urban
81,2023-07-31,North East,Walewale,Makola,yam,12.62,11.08,29,retailer,yes,rural
82,2025-01-17,North East,Chereponi,Agbogbloshie,cassava,17.07,14.74,559,retailer,no,urban
83,2022-02-23,North East,Walewale,Keta Market,tomato,23.54,20.64,479,retailer,yes,peri-urban
84,2025-10-16,Western North,Sefwi Wiawso,Keta Market,yam,11.13,10.26,80,retailer,no,urban
85,2022-08-17,Upper East,Bolgatanga,Kejetia,plantain,9.49,8.91,77,aggregator,no,urban
86,2024-02-18,Northern,Tamale,Takoradi Market,onion,8.72,7.81,319,wholesaler,yes,urban
87,2024-09-11,Western North,Sefwi Wiawso,Ho Main Market,cassava,23.51,21.52,516,retailer,yes,urban
88,2023-01-08,Ashanti,Kumasi,Kejetia,onion,9.36,7.69,358,wholesaler,no,urban
89,2023-04-14,Northern,Tolon,Kotokuraba,onion,13.33,12.34,271,wholesaler,no,rural
90,2023-02-24,North East,Walewale,Ho Main Market,cassava,9.56,8.93,426,wholesaler,no,urban
91,2023-06-16,Savannah,Bole,Techiman Market,tomato,8.11,7.21,275,wholesaler,no,rural
92,2025-11-24,Oti,Dambai,Aboabo Market,cassava,12.15,11.06,400,aggregator,yes,urban
93,2024-09-14,Ahafo,Asunafo North,Kotokuraba,palm oil,9.7,8.55,164,retailer,yes,urban
94,2025-04-22,Volta,Ho,Ho Main Market,tomato,10.57,9.03,360,retailer,yes,peri-urban
95,2023-07-16,Central,Kasoa,Techiman Market,palm oil,27.17,25.06,422,wholesaler,yes,rural
96,2022-03-31,Savannah,Salaga,Makola,pepper,15.62,13.93,307,retailer,no,urban
97,2025-11-07,Ashanti,Obuasi,Tamale Central,palm oil,18.65,16.59,233,wholesaler,no,urban
98,2023-01-04,Oti,Dambai,Kejetia,plantain,17.97,16.16,551,aggregator,yes,urban
99,2025-01-02,Central,Komenda,Techiman Market,rice,13.0,12.0,595,retailer,yes,rural
100,2025-07-16,Upper West,Tumu,Makola,cassava,11.54,10.48,567,wholesaler,no,rural
101,2022-01-15,Western,Sekondi-Takoradi,Kotokuraba,palm oil,14.69,12.42,230,retailer,no,rural
102,2025-09-14,North East,Nalerigu,Makola,yam,14.28,12.51,190,wholesaler,no,peri-urban
103,2025-11-16,Northern,Tolon,Ho Main Market,palm oil,11.03,10.34,557,retailer,yes,peri-urban
104,2025-12-28,Northern,Tamale,Agbogbloshie,cassava,14.09,12.49,282,aggregator,yes,urban
105,2022-12-10,Ahafo,Goaso,Kotokuraba,yam,10.51,9.8,409,retailer,no,rural
106,2025-05-03,Greater Accra,Madina,Kotokuraba,maize,12.68,11.64,440,aggregator,yes,rural
107,2024-11-25,Western North,Juaboso,Makola,yam,11.97,10.77,81,aggregator,no,peri-urban
108,2024-07-05,Upper East,Bolgatanga,Kotokuraba,yam,8.64,7.45,105,wholesaler,yes,urban
109,2022-07-24,Savannah,Salaga,Aboabo Market,tomato,5.91,5.06,510,wholesaler,no,rural
110,2024-02-15,North East,Walewale,Kotokuraba,palm oil,9.69,8.69,79,retailer,yes,rural
111,2024-12-16,Oti,Dambai,Kejetia,palm oil,25.32,22.08,496,aggregator,no,urban
112,2025-02-07,Bono,Sunyani,Takoradi Market,sardine,12.08,11.06,339,wholesaler,yes,peri-urban
113,2023-11-17,Upper West,Lawra,Ho Main Market,yam,17.67,16.1,71,aggregator,no,peri-urban
114,2023-12-19,Western North,Bibiani,Agbogbloshie,rice,6.4,5.49,96,aggregator,no,rural
115,2022-08-13,Eastern,Nsawam,Kotokuraba,tomato,9.46,8.55,138,aggregator,no,urban
116,2025-11-10,Savannah,Sawla,Agbogbloshie,tomato,8.38,7.37,201,retailer,no,urban
117,2022-03-05,Bono,Dormaa,Kotokuraba,tomato,12.54,10.77,525,aggregator,yes,urban
118,2024-08-05,Northern,Savelugu,Techiman Market,palm oil,31.43,27.33,172,aggregator,no,rural
119,2024-08-18,Upper West,Tumu,Tamale Central,sardine,15.82,14.67,37,retailer,no,peri-urban
120,2025-10-07,Bono,Sunyani,Aboabo Market,onion,24.37,21.03,83,retailer,no,peri-urban
121,2022-11-16,Ashanti,Obuasi,Kotokuraba,cassava,12.32,10.53,516,wholesaler,yes,peri-urban
122,2022-12-23,Northern,Tolon,Agbogbloshie,maize,21.71,18.72,98,aggregator,no,peri-urban
123,2022-04-03,Western,Shama,Takoradi Market,maize,27.82,23.53,78,aggregator,yes,peri-urban
124,2023-11-26,Savannah,Bole,Tamale Central,cassava,12.96,11.47,430,retailer,no,rural
125,2025-08-16,Upper West,Lawra,Tamale Central,tomato,11.15,9.34,80,retailer,no,rural
126,2025-11-13,Western North,Juaboso,Agbogbloshie,pepper,8.49,7.79,486,wholesaler,no,peri-urban
127,2023-03-10,Volta,Ho,Kejetia,cassava,12.08,10.23,98,retailer,no,peri-urban
128,2025-01-30,North East,Nalerigu,Tamale Central,onion,13.86,12.36,507,retailer,yes,rural
129,2024-04-20,North East,Nalerigu,Aboabo Market,onion,27.41,22.89,263,retailer,yes,peri-urban
130,2025-11-02,Ashanti,Mampong,Takoradi Market,yam,8.56,8.02,227,retailer,no,peri-urban
131,2025-09-23,Eastern,Suhum,Techiman Market,yam,13.75,12.03,106,wholesaler,no,peri-urban
132,2024-10-20,Upper West,Tumu,Takoradi Market,yam,7.13,6.55,58,aggregator,no,urban
133,2024-06-16,Upper West,Tumu,Ho Main Market,yam,11.6,10.58,195,aggregator,yes,peri-urban
134,2024-06-02,Central,Cape Coast,Takoradi Market,pepper,15.01,13.59,497,aggregator,no,urban
135,2024-02-17,Volta,Ho,Keta Market,pepper,16.11,14.81,39,aggregator,yes,peri-urban
136,2023-05-07,Upper East,Navrongo,Kejetia,sardine,16.55,13.77,240,aggregator,yes,peri-urban
137,2024-12-19,Ashanti,Kumasi,Makola,maize,15.47,13.94,294,retailer,no,rural
138,2024-03-23,Central,Komenda,Aboabo Market,palm oil,16.5,14.06,173,aggregator,yes,rural
139,2023-01-27,Bono East,Nkoranza,Agbogbloshie,pepper,13.68,12.51,482,retailer,no,rural
140,2025-02-16,Northern,Savelugu,Takoradi Market,plantain,9.33,8.72,428,aggregator,yes,urban
141,2025-09-13,Upper East,Bolgatanga,Ho Main Market,onion,7.04,6.53,270,aggregator,no,urban
142,2022-01-21,Ahafo,Goaso,Kejetia,palm oil,11.12,9.27,231,retailer,no,peri-urban
143,2025-01-25,Eastern,Nsawam,Techiman Market,onion,12.84,11.1,497,aggregator,no,urban
144,2023-05-28,Greater Accra,Tema,Agbogbloshie,yam,20.88,18.03,438,retailer,no,rural
145,2024-06-26,Western,Shama,Kejetia,pepper,13.0,10.85,191,wholesaler,no,urban
146,2023-12-16,Upper East,Bawku,Ho Main Market,palm oil,12.57,10.46,526,wholesaler,no,peri-urban
147,2024-08-01,Eastern,Koforidua,Aboabo Market,tomato,15.41,13.35,222,wholesaler,yes,urban
148,2022-12-16,Central,Cape Coast,Ho Main Market,sardine,12.25,11.5,511,aggregator,yes,rural
149,2025-03-01,Upper East,Bawku,Makola,plantain,17.88,15.88,314,aggregator,yes,peri-urban
150,2023-06-30,Bono East,Techiman,Techiman Market,plantain,26.92,24.08,476,aggregator,no,urban
151,2023-08-22,Central,Kasoa,Aboabo Market,maize,28.98,25.4,165,aggregator,no,peri-urban
152,2022-02-01,Northern,Savelugu,Agbogbloshie,yam,13.93,12.53,257,retailer,no,peri-urban
153,2022-09-16,Central,Cape Coast,Ho Main Market,plantain,15.15,14.16,443,wholesaler,no,urban
154,2023-04-21,Oti,Jasikan,Ho Main Market,rice,23.4,20.84,311,retailer,no,peri-urban
155,2024-04-04,Western,Tarkwa,Aboabo Market,rice,12.78,10.58,175,wholesaler,no,urban
156,2024-08-29,North East,Chereponi,Tamale Central,cassava,17.08,15.02,369,wholesaler,yes,rural
157,2024-07-08,Western North,Sefwi Wiawso,Kotokuraba,plantain,9.05,8.5,461,retailer,no,rural
158,2022-02-02,Greater Accra,Madina,Tamale Central,palm oil,12.08,10.47,262,retailer,no,urban
159,2024-06-17,Bono East,Kintampo,Tamale Central,pepper,20.18,17.99,226,retailer,no,urban
160,2023-01-23,Oti,Jasikan,Kotokuraba,tomato,10.47,8.72,447,wholesaler,no,peri-urban
161,2024-03-08,Central,Komenda,Makola,maize,12.87,10.77,277,retailer,no,urban
162,2023-04-01,Greater Accra,Madina,Makola,yam,7.76,7.18,54,aggregator,yes,peri-urban
163,2025-03-13,Eastern,Suhum,Kejetia,cassava,27.17,23.26,148,retailer,no,rural
164,2022-08-12,Upper West,Lawra,Kejetia,palm oil,20.95,17.95,449,wholesaler,no,urban
165,2022-08-05,Bono,Sunyani,Ho Main Market,onion,14.38,12.46,338,wholesaler,yes,rural
166,2022-06-05,Oti,Nkwanta South,Aboabo Market,rice,16.08,15.05,114,retailer,yes,urban
167,2024-02-28,Western,Sekondi-Takoradi,Keta Market,pepper,15.46,12.83,239,retailer,no,rural
168,2022-02-05,Bono,Sunyani,Keta Market,cassava,21.86,20.07,320,wholesaler,yes,urban
169,2023-09-28,Ashanti,Mampong,Kejetia,palm oil,11.23,9.67,204,wholesaler,yes,urban
170,2022-01-09,Western North,Bibiani,Tamale Central,yam,17.4,16.04,56,retailer,no,peri-urban
171,2024-11-29,Volta,Ho,Aboabo Market,tomato,19.63,18.43,419,aggregator,yes,peri-urban
172,2022-06-28,Bono,Dormaa,Agbogbloshie,pepper,20.6,17.75,161,aggregator,no,urban
173,2024-08-16,Savannah,Salaga,Makola,yam,6.11,5.11,153,aggregator,yes,peri-urban
174,2023-05-16,Oti,Nkwanta South,Keta Market,sardine,10.92,9.14,464,wholesaler,no,urban
175,2023-01-08,Upper West,Wa,Ho Main Market,yam,9.42,8.58,307,aggregator,no,urban
176,2024-12-27,Ahafo,Tano North,Techiman Market,yam,14.19,11.88,277,aggregator,yes,rural
177,2024-08-27,Upper West,Tumu,Takoradi Market,tomato,6.65,5.66,58,retailer,yes,peri-urban
178,2025-12-18,Northern,Tolon,Agbogbloshie,plantain,6.58,5.56,324,retailer,no,peri-urban
179,2023-05-30,Ashanti,Ejisu,Agbogbloshie,sardine,28.78,24.83,302,aggregator,no,rural
180,2022-12-30,Upper East,Bawku,Aboabo Market,maize,16.71,13.85,545,wholesaler,yes,urban
181,2024-02-16,Upper West,Tumu,Aboabo Market,cassava,14.05,12.97,426,aggregator,no,peri-urban
182,2024-02-13,Bono,Wenchi,Makola,palm oil,15.29,14.12,378,retailer,yes,urban
183,2022-11-25,Central,Kasoa,Kotokuraba,palm oil,14.17,12.32,397,retailer,yes,peri-urban
184,2024-03-04,Western North,Bodi,Keta Market,onion,19.09,17.06,488,retailer,yes,peri-urban
185,2024-08-19,Oti,Dambai,Kotokuraba,maize,10.79,9.68,300,aggregator,no,urban
186,2023-01-05,Western North,Juaboso,Keta Market,maize,14.37,13.08,584,wholesaler,no,urban
187,2023-08-20,Upper East,Navrongo,Takoradi Market,maize,14.58,12.87,30,aggregator,yes,peri-urban
188,2025-11-11,Bono East,Techiman,Ho Main Market,maize,9.33,8.22,205,retailer,yes,rural
189,2025-02-11,Upper West,Wa,Tamale Central,tomato,21.05,18.86,568,retailer,no,rural
190,2023-07-25,Central,Mfantsiman,Techiman Market,plantain,11.52,10.42,28,retailer,no,rural
191,2024-11-27,Western North,Bibiani,Makola,tomato,19.22,16.56,47,retailer,no,rural
192,2023-01-12,Eastern,Suhum,Kotokuraba,cassava,14.02,12.05,483,aggregator,yes,rural
193,2025-11-23,Central,Kasoa,Takoradi Market,sardine,23.85,20.33,530,aggregator,yes,urban
194,2025-05-11,Oti,Kadjebi,Kotokuraba,onion,9.35,8.28,521,wholesaler,no,peri-urban
195,2025-05-10,Ahafo,Tano North,Takoradi Market,tomato,9.21,7.95,237,retailer,yes,rural
196,2022-04-10,Eastern,Akim Oda,Techiman Market,cassava,9.81,8.68,448,aggregator,yes,peri-urban
197,2025-11-22,Northern,Tamale,Keta Market,sardine,14.11,12.26,22,aggregator,no,urban
198,2024-03-26,Western North,Sefwi Wiawso,Agbogbloshie,cassava,23.09,21.25,206,retailer,yes,peri-urban
199,2022-04-28,Bono,Sunyani,Takoradi Market,plantain,23.51,19.48,62,aggregator,no,urban
200,2023-02-25,Western,Axim,Tamale Central,cassava,6.0,5.33,430,retailer,no,peri-urban
201,2025-06-20,Ashanti,Mampong,Takoradi Market,pepper,14.69,13.06,209,wholesaler,no,peri-urban
202,2023-06-25,Eastern,Akim Oda,Techiman Market,cassava,4.37,3.78,61,retailer,no,urban
203,2025-06-04,Western North,Juaboso,Kotokuraba,tomato,17.78,15.48,116,retailer,yes,peri-urban
204,2025-05-21,Upper East,Bolgatanga,Tamale Central,cassava,19.91,18.24,536,aggregator,no,urban
205,2024-07-18,Volta,Keta,Makola,tomato,13.28,11.34,155,wholesaler,no,peri-urban
206,2023-11-30,Bono,Sunyani,Ho Main Market,sardine,13.87,12.82,529,wholesaler,no,peri-urban
207,2022-04-23,Bono East,Kintampo,Ho Main Market,pepper,13.82,12.82,538,aggregator,yes,rural
208,2023-01-08,Eastern,Suhum,Ho Main Market,sardine,10.23,9.19,56,wholesaler,yes,peri-urban
209,2022-10-26,Western North,Bodi,Ho Main Market,cassava,15.66,14.29,598,wholesaler,yes,rural
210,2024-11-08,Upper East,Paga,Kotokuraba,maize,12.42,11.1,536,retailer,yes,rural
211,2024-02-15,Upper West,Wa,Makola,onion,18.65,16.47,77,aggregator,no,urban
212,2023-11-02,Upper East,Bolgatanga,Agbogbloshie,rice,12.94,12.11,174,wholesaler,yes,urban
213,2022-01-11,Eastern,Koforidua,Ho Main Market,maize,9.96,8.51,132,wholesaler,yes,peri-urban
214,2022-01-08,Upper East,Bawku,Tamale Central,pepper,7.87,6.6,479,wholesaler,yes,urban
215,2025-03-22,Ashanti,Kumasi,Ho Main Market,sardine,7.01,5.99,461,retailer,no,rural
216,2025-03-04,Upper West,Jirapa,Kejetia,pepper,21.31,19.05,247,retailer,no,peri-urban
217,2025-10-28,Upper West,Tumu,Aboabo Market,plantain,11.47,9.66,598,aggregator,no,urban
218,2023-04-06,Bono,Sunyani,Aboabo Market,sardine,15.16,14.08,141,aggregator,no,urban
219,2025-06-12,Upper West,Jirapa,Takoradi Market,cassava,25.13,21.85,376,retailer,yes,urban
220,2022-09-12,Northern,Tolon,Kotokuraba,sardine,11.06,10.2,287,aggregator,yes,rural
221,2023-08-09,Ashanti,Mampong,Kotokuraba,maize,10.81,9.19,504,aggregator,yes,urban
222,2025-09-13,Bono,Sunyani,Kejetia,onion,12.86,11.03,23,aggregator,yes,peri-urban
223,2022-12-28,Northern,Yendi,Makola,cassava,13.6,11.25,497,retailer,yes,peri-urban
224,2025-10-29,Bono East,Kintampo,Tamale Central,palm oil,26.07,22.18,140,retailer,no,peri-urban
225,2024-09-29,Western,Shama,Takoradi Market,maize,23.29,20.47,505,wholesaler,yes,rural
226,2024-02-27,Ahafo,Asunafo North,Tamale Central,yam,16.73,15.62,238,wholesaler,no,urban
227,2022-07-28,Savannah,Bole,Keta Market,cassava,22.36,19.38,297,wholesaler,no,peri-urban
228,2022-09-24,Upper West,Jirapa,Takoradi Market,cassava,12.65,11.34,276,wholesaler,no,urban
229,2023-10-18,Ashanti,Obuasi,Takoradi Market,maize,14.95,13.03,323,aggregator,yes,urban
230,2024-09-23,Western,Axim,Kotokuraba,plantain,12.12,10.01,62,aggregator,yes,peri-urban
231,2023-07-08,Bono,Wenchi,Kejetia,sardine,8.57,7.55,549,retailer,no,rural
232,2024-01-06,Northern,Yendi,Aboabo Market,yam,20.52,16.99,169,aggregator,yes,peri-urban
233,2023-02-25,Western,Sekondi-Takoradi,Tamale Central,pepper,16.22,15.02,29,aggregator,yes,peri-urban
234,2022-11-04,Northern,Yendi,Aboabo Market,cassava,13.55,12.34,231,aggregator,yes,rural
235,2022-05-17,Western North,Bodi,Tamale Central,sardine,13.45,11.64,279,wholesaler,yes,urban
236,2025-12-13,Savannah,Sawla,Takoradi Market,rice,7.95,7.13,401,retailer,no,urban
237,2022-07-14,Western,Shama,Kotokuraba,rice,9.56,7.97,408,wholesaler,yes,rural
238,2025-01-23,Eastern,Akim Oda,Kejetia,pepper,15.14,13.69,355,aggregator,yes,peri-urban
239,2025-07-05,Volta,Hohoe,Ho Main Market,tomato,11.19,10.28,24,aggregator,yes,rural
240,2024-11-14,Savannah,Damongo,Takoradi Market,yam,12.48,11.46,102,retailer,no,peri-urban
241,2025-06-09,Eastern,Akim Oda,Takoradi Market,rice,12.98,11.09,25,wholesaler,no,rural
242,2025-09-17,Bono,Dormaa,Takoradi Market,onion,10.6,9.03,171,aggregator,yes,urban
243,2023-08-29,Central,Kasoa,Ho Main Market,pepper,9.59,8.46,200,retailer,yes,rural
244,2024-10-10,Western,Shama,Tamale Central,maize,7.66,7.17,186,aggregator,yes,rural
245,2024-05-11,Savannah,Bole,Kotokuraba,maize,12.79,11.9,489,aggregator,yes,peri-urban
246,2022-08-09,Bono East,Nkoranza,Agbogbloshie,palm oil,16.72,14.43,97,retailer,no,peri-urban
247,2022-10-24,Oti,Dambai,Keta Market,onion,7.57,6.92,431,retailer,no,peri-urban
248,2025-05-11,Oti,Jasikan,Takoradi Market,yam,13.35,12.42,573,aggregator,no,rural
249,2024-10-07,Upper East,Bawku,Agbogbloshie,rice,14.86,12.65,593,retailer,no,rural
250,2022-12-09,Northern,Tamale,Takoradi Market,tomato,9.52,8.75,400,aggregator,no,peri-urban
251,2023-08-16,Northern,Tolon,Ho Main Market,yam,22.15,18.88,332,wholesaler,no,urban
252,2025-05-13,Ahafo,Tano North,Aboabo Market,plantain,11.76,10.13,414,aggregator,yes,peri-urban
253,2024-06-10,North East,Chereponi,Keta Market,yam,12.99,10.96,562,retailer,no,rural
254,2022-03-18,Western,Axim,Kejetia,maize,12.72,11.2,23,wholesaler,no,rural
255,2023-12-08,Northern,Tolon,Aboabo Market,palm oil,7.24,6.67,128,retailer,no,peri-urban
256,2024-12-01,Central,Mfantsiman,Agbogbloshie,rice,19.16,16.93,112,aggregator,yes,peri-urban
257,2025-04-20,Bono East,Nkoranza,Makola,pepper,9.64,8.05,118,retailer,no,rural
258,2024-01-27,Oti,Jasikan,Techiman Market,rice,12.39,10.53,211,aggregator,no,rural
259,2025-05-03,Bono East,Atebubu,Ho Main Market,sardine,16.6,14.73,352,retailer,no,urban
260,2023-08-13,Ashanti,Obuasi,Takoradi Market,maize,22.45,19.98,231,retailer,no,peri-urban
261,2023-01-23,Northern,Yendi,Ho Main Market,palm oil,9.23,8.21,226,aggregator,yes,peri-urban
262,2024-07-15,Central,Komenda,Aboabo Market,sardine,11.52,9.55,592,wholesaler,yes,urban
263,2023-09-29,Savannah,Sawla,Kejetia,onion,21.84,19.88,375,aggregator,yes,rural
264,2022-05-21,Bono,Berekum,Aboabo Market,tomato,15.84,14.72,272,wholesaler,no,rural
265,2024-11-16,Eastern,Suhum,Tamale Central,yam,17.03,15.01,215,wholesaler,yes,urban
266,2025-08-31,Northern,Savelugu,Aboabo Market,plantain,9.32,8.45,281,wholesaler,yes,peri-urban
267,2025-09-06,Northern,Savelugu,Makola,cassava,11.79,10.96,341,wholesaler,yes,rural
268,2023-03-24,Upper East,Paga,Keta Market,cassava,12.7,11.39,439,aggregator,yes,urban
269,2022-10-20,Upper West,Lawra,Ho Main Market,pepper,9.97,8.98,517,aggregator,yes,urban
