respondent_id,region,district,age,age_group,gender,education_level,monthly_income_ghs,smartphone_skill_score,mobile_money_transactions_monthly,average_transaction_value_ghs,data_usage_gb_monthly,digital_confidence_score,savings_behaviour_score
110,Volta,Hohoe,42,35-44,Female,postgraduate,918.38,5,29.0,62.94,5.3,6.7,3.6
111,Western North,Bodi,37,35-44,Male,postgraduate,1690.17,5,30.0,143.54,6.0,4.8,4.0
112,Savannah,Sawla,48,45-54,Male,basic,2018.9,5,21.0,63.59,9.2,3.0,5.3
113,Western North,Juaboso,28,25-34,Male,basic,2452.37,8,39.0,113.78,13.5,6.5,4.5
114,Western,Tarkwa,43,35-44,Male,basic,1100.46,5,20.0,82.32,7.3,2.6,5.3
115,Upper West,Lawra,38,35-44,Female,basic,1073.49,7,20.0,233.6,10.9,8.9,3.9
116,North East,Nalerigu,18,18-24,Male,secondary,1317.36,7,17.0,90.71,8.5,6.3,6.1
117,Upper West,Tumu,20,18-24,Male,postgraduate,1121.86,7,14.0,62.52,11.3,9.0,6.2
118,Bono,Sunyani,18,18-24,Male,tertiary,648.23,5,26.0,100.99,7.8,4.9,5.6
119,Central,Komenda,18,18-24,Female,secondary,646.27,6,13.0,155.92,9.4,8.4,3.5
120,Western,Axim,35,35-44,Male,secondary,618.86,10,43.0,160.62,13.5,9.2,6.5
121,Ashanti,Ejisu,23,18-24,Female,secondary,658.64,7,0.0,87.04,7.6,9.7,4.7
122,Ahafo,Tano North,18,18-24,Male,secondary,1056.71,9,30.0,139.35,12.1,9.3,5.3
123,Ahafo,Asunafo North,29,25-34,Male,postgraduate,1178.29,5,20.0,120.66,10.3,5.0,5.1
124,Savannah,Salaga,36,35-44,Male,postgraduate,808.22,7,40.0,52.81,10.5,10.0,8.4
125,Eastern,Suhum,50,45-54,Female,basic,1713.28,9,38.0,75.46,13.1,9.2,3.5
126,North East,Walewale,34,25-34,Female,secondary,704.33,5,30.0,66.08,8.4,3.8,5.1
127,Ahafo,Tano North,52,45-54,Female,tertiary,1792.24,4,28.0,123.9,7.3,3.2,5.5
128,Northern,Yendi,31,25-34,Female,postgraduate,1486.53,8,38.0,79.05,10.6,7.0,6.4
129,North East,Nalerigu,24,18-24,Male,tertiary,1081.98,3,0.0,107.36,3.6,3.3,6.7
130,Bono,Dormaa,28,25-34,Male,secondary,943.04,5,22.0,153.38,7.2,4.6,1.0
131,Upper East,Bawku,35,35-44,Female,secondary,1238.3,6,37.0,139.95,7.1,3.7,6.4
132,Eastern,Koforidua,18,18-24,Male,secondary,962.84,6,32.0,133.77,3.9,7.4,8.2
133,Western,Axim,32,25-34,Male,secondary,560.18,10,26.0,120.86,11.2,7.4,3.6
134,Central,Komenda,31,25-34,Male,tertiary,1377.13,5,14.0,140.17,9.1,3.9,4.2
135,Eastern,Nsawam,37,35-44,Female,basic,1849.42,7,18.0,81.24,9.4,4.9,5.7
136,Greater Accra,Kasoa East,46,45-54,Female,basic,1424.42,6,20.0,187.81,8.2,8.4,2.6
137,Eastern,Akim Oda,22,18-24,Male,secondary,1179.38,6,26.0,142.34,5.1,7.3,4.0
138,Bono,Wenchi,25,25-34,Female,tertiary,1246.56,8,24.0,140.08,12.3,7.6,6.1
139,Ahafo,Goaso,31,25-34,Female,postgraduate,612.78,9,32.0,127.67,13.1,9.0,5.1
140,North East,Bunkpurugu,29,25-34,Female,basic,1483.17,4,15.0,91.97,8.4,2.5,10.0
141,Bono East,Kintampo,36,35-44,Female,tertiary,1108.6,7,44.0,124.64,10.7,6.9,2.5
142,Greater Accra,Tema,20,18-24,Female,secondary,1168.51,5,26.0,80.67,7.5,2.6,4.3
143,Central,Kasoa,37,35-44,Female,postgraduate,540.0,7,37.0,70.63,9.6,8.7,8.3
144,Western North,Sefwi Wiawso,23,18-24,Male,secondary,635.62,4,12.0,122.56,3.9,4.8,7.5
145,Upper West,Lawra,37,35-44,Male,basic,1037.4,7,13.0,65.86,13.4,7.8,6.0
146,Western,Shama,49,45-54,Male,basic,2817.71,6,40.0,106.58,14.9,7.3,1.4
147,Oti,Kadjebi,33,25-34,Female,secondary,792.63,7,19.0,88.82,14.1,2.0,6.9
148,Central,Mfantsiman,31,25-34,Female,basic,879.13,8,33.0,113.56,11.2,8.1,9.8
149,Bono,Berekum,33,25-34,Male,postgraduate,696.04,8,31.0,59.3,8.5,7.7,7.9
150,Eastern,Koforidua,18,18-24,Male,basic,1768.46,6,23.0,114.49,10.6,4.1,5.1
151,Volta,Hohoe,19,18-24,Male,postgraduate,725.36,9,25.0,174.64,14.1,9.8,6.5
152,Eastern,Akim Oda,32,25-34,Female,tertiary,1936.89,6,38.0,255.73,10.3,7.7,4.0
153,Savannah,Salaga,35,35-44,Male,postgraduate,1472.95,6,20.0,69.62,10.2,4.7,6.2
154,Western,Shama,19,18-24,Male,tertiary,1511.3,4,32.0,85.06,4.9,1.2,6.4
155,Western North,Juaboso,33,25-34,Female,basic,1612.66,1,24.0,168.73,4.7,1.2,3.4
156,North East,Chereponi,29,25-34,Male,secondary,599.41,4,13.0,113.22,7.7,4.0,7.2
157,Bono East,Nkoranza,28,25-34,Female,tertiary,551.65,5,12.0,129.74,7.3,4.0,6.0
158,Eastern,Koforidua,18,18-24,Female,secondary,538.88,5,22.0,84.27,4.0,6.0,4.2
159,Western,Axim,29,25-34,Male,basic,1996.12,6,38.0,151.39,10.0,7.2,2.8
160,Eastern,Akim Oda,65,55-65,Female,postgraduate,335.69,8,23.0,69.24,10.3,6.9,5.4
161,Ashanti,Ejisu,22,18-24,Male,tertiary,1007.61,6,8.0,136.94,11.7,4.8,4.3
162,Ashanti,Mampong,38,35-44,Male,secondary,3048.37,5,28.0,228.49,12.4,5.7,3.7
163,Ahafo,Goaso,42,35-44,Male,secondary,711.79,7,8.0,188.03,5.6,5.8,6.9
164,Oti,Jasikan,41,35-44,Female,postgraduate,1321.02,3,18.0,238.91,9.4,4.0,6.3
165,Volta,Kpando,25,25-34,Female,basic,735.59,4,26.0,45.41,5.0,3.8,8.8
166,Ahafo,Goaso,18,18-24,Female,tertiary,676.75,4,21.0,87.53,6.0,3.9,5.6
167,Western,Axim,18,18-24,Female,secondary,1107.21,4,9.0,65.46,4.4,1.1,4.5
168,Oti,Kadjebi,37,35-44,Female,secondary,796.28,6,19.0,104.88,8.1,8.6,2.8
169,North East,Walewale,33,25-34,Male,secondary,525.63,8,17.0,76.73,11.8,8.5,5.8
170,Savannah,Bole,41,35-44,Male,secondary,612.6,4,20.0,103.58,6.6,3.4,8.4
171,Western,Shama,34,25-34,Male,basic,1125.2,8,17.0,76.38,10.8,9.5,8.3
172,Volta,Hohoe,38,35-44,Male,tertiary,1045.51,5,17.0,74.53,11.6,3.7,4.0
173,Ahafo,Tano North,42,35-44,Female,basic,965.02,5,42.0,117.56,7.4,5.6,8.0
174,Savannah,Bole,24,18-24,Male,secondary,1166.39,2,22.0,94.99,2.8,2.8,6.3
175,Ashanti,Ejisu,18,18-24,Female,postgraduate,1171.18,8,19.0,122.62,11.4,7.0,4.3
176,Bono,Berekum,28,25-34,Male,postgraduate,630.93,2,29.0,90.07,3.7,1.0,8.0
177,Northern,Yendi,38,35-44,Female,postgraduate,553.8,7,24.0,101.58,8.0,4.9,5.9
178,Savannah,Damongo,47,45-54,Male,basic,2049.9,4,7.0,145.7,10.3,2.8,5.5
179,Central,Mfantsiman,46,45-54,Male,postgraduate,1277.45,5,28.0,95.2,8.5,7.8,5.8
180,Western North,Sefwi Wiawso,51,45-54,Male,basic,1081.69,9,32.0,79.14,13.4,5.7,5.1
181,Ashanti,Ejisu,37,35-44,Female,secondary,608.82,5,21.0,204.09,6.1,6.3,4.4
182,Bono,Wenchi,29,25-34,Female,basic,742.12,9,32.0,91.25,11.9,8.7,5.6
183,Upper West,Tumu,43,35-44,Male,secondary,541.1,8,17.0,64.56,11.1,10.0,5.9
184,Bono,Berekum,36,35-44,Female,secondary,2131.44,7,11.0,96.27,11.0,7.9,5.1
185,North East,Nalerigu,25,25-34,Male,secondary,1678.62,4,38.0,66.48,8.0,3.6,5.2
186,Bono,Sunyani,37,35-44,Male,secondary,992.27,9,19.0,70.49,13.8,10.0,8.7
187,Savannah,Sawla,37,35-44,Female,secondary,867.33,6,21.0,115.65,7.2,5.6,7.7
188,Western,Shama,28,25-34,Male,postgraduate,2416.0,5,19.0,170.35,8.4,4.7,7.6
189,Ahafo,Asunafo North,37,35-44,Male,postgraduate,511.57,8,29.0,58.49,7.1,8.8,5.1
190,Bono,Sunyani,26,25-34,Male,tertiary,565.33,5,5.0,116.19,3.8,5.6,6.9
191,Eastern,Koforidua,48,45-54,Male,tertiary,1116.57,5,22.0,150.32,6.6,6.5,7.6
192,Greater Accra,Madina,37,35-44,Female,secondary,1248.11,8,14.0,62.95,10.3,6.8,5.2
193,Ashanti,Mampong,44,35-44,Female,basic,826.09,1,0.0,111.2,3.3,1.0,7.1
194,Bono East,Kintampo,45,45-54,Female,basic,1645.24,6,29.0,92.58,11.6,4.8,7.8
195,Greater Accra,Kasoa East,22,18-24,Male,tertiary,1727.71,6,20.0,91.02,6.8,4.6,6.3
196,Eastern,Nsawam,36,35-44,Male,tertiary,1775.17,7,30.0,103.52,9.3,6.7,5.3
197,North East,Nalerigu,43,35-44,Female,secondary,1053.33,6,22.0,156.99,6.2,6.7,5.5
198,North East,Nalerigu,36,35-44,Female,secondary,5691.07,8,41.0,44.03,16.4,10.0,7.5
199,Savannah,Bole,27,25-34,Female,secondary,933.29,5,18.0,53.91,6.8,7.1,7.9
200,Bono,Wenchi,27,25-34,Male,secondary,1421.32,4,11.0,57.54,11.2,4.8,9.2
201,Western,Shama,18,18-24,Male,postgraduate,1393.25,1,13.0,104.93,4.4,1.0,3.7
202,Upper West,Jirapa,42,35-44,Male,basic,1031.12,9,17.0,84.68,13.4,8.6,5.4
203,Volta,Keta,23,18-24,Male,tertiary,1024.58,8,28.0,186.38,9.4,8.4,4.4
204,Eastern,Suhum,53,45-54,Female,basic,1006.42,7,30.0,42.48,12.8,9.4,6.3
205,North East,Nalerigu,18,18-24,Male,secondary,464.33,8,19.0,132.51,10.6,8.2,4.2
206,Oti,Kadjebi,18,18-24,Female,postgraduate,478.0,7,36.0,73.47,4.7,8.5,5.8
207,Eastern,Suhum,21,18-24,Female,postgraduate,363.57,6,24.0,120.72,7.9,6.4,2.4
208,Upper West,Jirapa,18,18-24,Male,basic,1564.27,5,23.0,140.37,9.4,5.3,3.4
209,Ahafo,Asutifi South,30,25-34,Male,tertiary,2051.22,5,19.0,80.53,8.2,6.5,4.7
210,Ahafo,Tano North,29,25-34,Female,secondary,1175.96,10,36.0,80.99,13.3,10.0,5.2
211,Oti,Dambai,37,35-44,Female,tertiary,801.72,9,31.0,98.96,13.1,8.7,6.6
212,Volta,Ho,18,18-24,Male,secondary,1059.48,2,16.0,178.49,10.1,1.0,5.9
213,Upper East,Bolgatanga,21,18-24,Female,secondary,813.38,7,14.0,143.01,7.3,6.5,4.6
214,Bono East,Techiman,50,45-54,Male,basic,901.14,8,26.0,97.01,5.6,7.5,5.0
215,Bono East,Techiman,33,25-34,Male,secondary,1841.74,5,21.0,82.49,7.9,4.0,2.6
216,Volta,Hohoe,43,35-44,Female,tertiary,713.86,4,17.0,113.63,3.6,2.8,7.8
217,Greater Accra,Tema,43,35-44,Male,postgraduate,1149.15,5,23.0,77.48,6.7,4.9,8.4
218,Upper West,Wa,28,25-34,Male,tertiary,1620.55,3,7.0,98.21,6.3,1.7,5.8
219,Central,Komenda,35,35-44,Male,basic,1295.87,5,22.0,99.55,9.0,4.6,7.0
220,Western,Axim,43,35-44,Female,basic,932.49,10,17.0,148.12,10.8,10.0,4.1
221,Northern,Tamale,41,35-44,Female,basic,717.84,5,35.0,112.46,6.6,4.8,4.1
222,Bono East,Kintampo,18,18-24,Male,basic,887.36,6,11.0,76.83,10.2,7.4,2.6
223,Central,Komenda,18,18-24,Male,postgraduate,923.83,8,18.0,53.5,10.4,9.6,3.9
224,Oti,Kadjebi,23,18-24,Male,secondary,2150.2,5,21.0,63.71,8.6,5.8,4.1
225,Savannah,Salaga,32,25-34,Female,secondary,573.12,9,32.0,107.9,10.5,9.0,5.0
226,Upper West,Jirapa,32,25-34,Female,postgraduate,1512.79,8,35.0,132.6,13.2,10.0,7.1
227,Western North,Bibiani,29,25-34,Male,secondary,1042.88,7,17.0,116.78,10.6,7.1,4.4
228,Eastern,Koforidua,32,25-34,Male,tertiary,888.75,4,16.0,74.78,7.4,2.5,4.7
229,Bono,Dormaa,36,35-44,Female,secondary,1096.4,6,31.0,84.7,12.5,8.8,4.3
230,Western,Sekondi-Takoradi,43,35-44,Male,secondary,1713.21,8,27.0,84.94,8.6,6.4,6.7
231,Upper West,Lawra,33,25-34,Female,tertiary,1599.0,6,12.0,72.35,13.2,5.4,4.7
232,Volta,Hohoe,26,25-34,Female,basic,1674.17,5,27.0,90.46,7.4,4.9,8.9
233,Central,Cape Coast,23,18-24,Male,basic,1440.92,5,16.0,100.02,7.7,2.4,6.9
234,Greater Accra,Kasoa East,22,18-24,Male,tertiary,1078.64,9,14.0,112.19,11.8,9.0,5.0
235,Upper East,Paga,28,25-34,Male,postgraduate,988.78,8,36.0,90.29,10.9,6.4,6.8
236,Bono,Sunyani,38,35-44,Male,postgraduate,3123.68,5,16.0,115.57,14.2,3.9,7.1
237,Greater Accra,Accra,26,25-34,Female,basic,1897.92,6,34.0,118.9,9.6,6.0,5.4
238,Eastern,Nsawam,41,35-44,Female,basic,1186.39,7,25.0,115.3,11.9,8.4,4.4
239,Oti,Dambai,24,18-24,Male,tertiary,941.42,9,37.0,84.41,13.9,8.2,6.3
240,Ashanti,Ejisu,24,18-24,Female,secondary,1436.74,8,19.0,77.46,11.6,8.5,6.0
241,North East,Walewale,18,18-24,Female,tertiary,852.31,2,4.0,114.58,4.3,3.3,5.4
242,Ashanti,Kumasi,18,18-24,Male,postgraduate,2013.52,3,19.0,87.73,2.9,3.4,4.8
243,Ashanti,Mampong,22,18-24,Male,secondary,1444.49,2,21.0,92.52,2.6,1.0,3.4
244,Oti,Nkwanta South,18,18-24,Female,basic,2702.36,7,27.0,152.13,11.2,4.9,9.3
245,Northern,Tamale,32,25-34,Female,postgraduate,1052.98,7,18.0,80.26,9.0,7.5,4.8
246,Bono East,Techiman,30,25-34,Female,postgraduate,399.16,4,4.0,114.87,2.4,4.2,9.6
247,Ashanti,Ejisu,21,18-24,Male,basic,1640.61,8,20.0,80.3,14.2,8.5,7.3
248,Eastern,Nsawam,21,18-24,Male,tertiary,1399.47,6,8.0,63.96,10.4,7.8,3.2
249,Upper West,Lawra,35,35-44,Male,secondary,988.05,5,29.0,96.65,8.0,5.5,4.8
250,Western,Sekondi-Takoradi,32,25-34,Female,basic,1546.74,3,25.0,71.9,7.1,2.6,3.8
251,Savannah,Sawla,30,25-34,Male,tertiary,1194.09,5,18.0,107.38,6.7,5.8,3.2
252,Savannah,Damongo,26,25-34,Male,tertiary,729.72,5,12.0,104.25,10.2,5.4,5.9
253,Greater Accra,Accra,41,35-44,Male,secondary,1315.36,6,20.0,124.2,8.2,7.2,7.7
254,Bono East,Techiman,24,18-24,Male,basic,926.37,6,2.0,167.33,10.7,6.6,7.8
255,Ashanti,Obuasi,26,25-34,Female,basic,873.78,6,19.0,136.05,12.4,5.2,6.0
256,Eastern,Akim Oda,18,18-24,Female,secondary,1741.08,7,21.0,72.74,12.5,7.9,7.8
257,Ahafo,Asunafo North,41,35-44,Male,tertiary,1133.83,4,29.0,110.04,6.3,3.8,4.1
258,Western,Shama,40,35-44,Male,postgraduate,905.85,7,21.0,68.14,10.2,5.2,6.3
259,Volta,Ho,33,25-34,Female,tertiary,1408.19,5,29.0,46.53,9.4,4.0,3.9
260,North East,Walewale,35,35-44,Female,basic,1997.62,2,6.0,119.22,4.4,1.0,6.3
261,Northern,Savelugu,19,18-24,Female,secondary,914.36,4,37.0,115.73,7.6,2.2,8.2
262,North East,Nalerigu,18,18-24,Female,basic,1315.34,4,7.0,108.05,9.5,4.9,4.6
263,Volta,Kpando,30,25-34,Male,postgraduate,544.94,7,23.0,95.4,6.1,4.9,4.6
264,Ashanti,Mampong,53,45-54,Female,secondary,1460.0,3,8.0,81.75,3.8,5.0,4.6
