record_id,year,region,district,school_name,school_type,rainfall_mm,average_temperature_c,attendance_rate_pct,graduation_rate_pct,teacher_student_ratio,electricity_outage_days
28,2024,Oti,Dambai,Apam SHS,private,52.3,26.8,62.9,75.7,0.044,1
29,2024,Savannah,Bole,Adisadel College,public,50.8,29.1,79.9,79.2,0.033,4
30,2024,Oti,Jasikan,Adisadel College,public,19,25,74.6,92.4,0.026,6
31,2023,Western,Tarkwa,Apam SHS,mission,80,27.4,72,80.1,0.031,4
32,2022,Upper West,Jirapa,Apam SHS,mission,156.8,25.8,88.3,78.4,0.028,3
33,2020,North East,Nalerigu,Apam SHS,mission,90.2,29.7,85.1,94.1,0.048,8
34,2018,Eastern,Koforidua,Adisadel College,public,26.3,32,82,75.2,0.032,6
35,2022,Oti,Jasikan,Ghana National College,public,79.7,30.2,71.2,85.9,0.03,3
36,2025,Western,Axim,Cape Coast Technical University,private,60.6,33.8,63,78.4,0.035,6
37,2022,Volta,Kpando,Adisadel College,private,47.4,31.9,91.7,95.7,0.054,2
38,2018,Upper West,Jirapa,Ghana National College,private,70.1,26.5,65.8,73.9,0.034,2
39,2024,Volta,Keta,Apam SHS,public,48.6,28.4,86.5,93.3,0.046,4
40,2020,Eastern,Nsawam,UCC Practice School,private,79.5,30.1,78.6,87,0.051,6
41,2023,Northern,Tamale,Adisadel College,mission,85.6,27,75,84,0.051,4
42,2024,North East,Nalerigu,Adisadel College,mission,48.4,30.3,76.6,84.5,0.054,8
43,2022,Bono,Sunyani,Apam SHS,public,77.1,30.1,84,80.3,0.037,6
44,2023,Greater Accra,Tema,Apam SHS,public,84.4,29.8,89.5,99,0.041,3
45,2023,Upper East,Navrongo,Cape Coast Technical University,private,33.4,28.8,86.1,86.8,0.033,3
46,2024,Northern,Savelugu,St Augustine's College,public,22.8,26.2,80.6,83.5,0.028,4
47,2025,Upper East,Navrongo,St Augustine's College,public,81.6,30.1,93.3,86.6,0.055,1
48,2025,Oti,Dambai,St Augustine's College,mission,72.2,29.2,82.1,87.1,0.052,5
49,2020,Savannah,Damongo,Apam SHS,private,145.5,26.9,72.4,84.2,0.036,1
50,2025,Bono,Berekum,Mfantsipim School,public,33.1,29.2,84.3,89.7,0.049,2
51,2022,Savannah,Salaga,Ghana National College,private,31.3,28,78.4,82.5,0.051,4
52,2020,Northern,Savelugu,UCC Practice School,public,57.2,30.4,80.6,88.6,0.033,4
53,2023,Central,Kasoa,Ghana National College,private,16.7,30.4,86,92.2,0.054,2
54,2021,Oti,Kadjebi,St Augustine's College,mission,50.7,27.5,81,95.5,0.036,3
55,2022,Northern,Tamale,Apam SHS,mission,69.6,28.9,78.7,85.8,0.043,6
56,2022,Ahafo,Asunafo North,Cape Coast Technical University,mission,65.1,27.7,72.4,87.7,0.05,7
57,2025,Upper West,Jirapa,St Augustine's College,mission,65.4,33,94.5,83.3,0.044,4
58,2023,Bono East,Nkoranza,Apam SHS,mission,47.9,28.1,80,82.8,0.034,4
59,2023,Upper East,Paga,UCC Practice School,private,67.1,29.8,76.3,75.4,0.054,4
60,2023,Savannah,Bole,Apam SHS,public,65.5,34.1,83,78.3,0.026,6
61,2019,Northern,Yendi,UCC Practice School,mission,27.1,21.9,86.8,87.1,0.042,4
62,2024,Upper West,Tumu,Apam SHS,public,79,30.8,77.9,87.3,0.028,4
63,2019,Western,Sekondi-Takoradi,Adisadel College,private,70.3,30.4,69.8,84.2,0.045,3
64,2024,Upper West,Jirapa,Adisadel College,public,73.7,27.3,73.1,78,0.028,5
65,2023,Upper East,Bolgatanga,Adisadel College,public,20.5,25.1,67.9,85.2,0.028,1
66,2023,Upper West,Tumu,Mfantsipim School,public,26.1,27.8,75.9,76.4,0.041,5
67,2023,Upper East,Bolgatanga,St Augustine's College,public,100.5,28.2,76.2,79.4,0.046,4
68,2020,Upper East,Navrongo,St Augustine's College,mission,29,29.9,75.9,82.6,0.039,6
69,2019,Western,Shama,Cape Coast Technical University,mission,30.9,25.2,86.1,81.5,0.053,5
70,2020,Volta,Kpando,UCC Practice School,public,29.2,26.3,67.6,76,0.053,5
71,2022,Northern,Savelugu,Apam SHS,public,56.5,27.7,80.9,86.6,0.039,3
72,2022,Eastern,Koforidua,Cape Coast Technical University,private,35.3,34.7,68.8,78.3,0.044,5
73,2023,Oti,Dambai,St Augustine's College,private,35.3,27.9,86.2,85.6,0.055,5
74,2025,Eastern,Akim Oda,Adisadel College,public,9,26.8,61.6,88,0.05,3
75,2021,Bono,Wenchi,Mfantsipim School,mission,35.3,31.2,78.8,88.7,0.03,7
76,2021,Oti,Dambai,Wesley Girls,mission,132.6,24.4,83.1,85.5,0.028,5
77,2019,Western,Shama,Wesley Girls,mission,32.9,26.6,80.6,81.1,0.043,2
78,2023,Central,Mfantsiman,Adisadel College,mission,62.4,23.4,68,86.8,0.051,4
79,2023,Volta,Hohoe,Adisadel College,public,105.8,28.7,79.7,78.2,0.048,2
80,2022,North East,Bunkpurugu,Cape Coast Technical University,mission,50.2,27.4,78.2,81.6,0.045,9
81,2020,Ashanti,Mampong,St Augustine's College,private,29.2,32.7,64.2,79.2,0.051,6
82,2019,Ashanti,Ejisu,Ghana National College,mission,55,29.6,70.2,80.6,0.03,5
83,2021,Bono East,Nkoranza,Apam SHS,public,12.8,28.8,72.7,71.6,0.04,6
84,2018,Northern,Savelugu,UCC Practice School,private,52.6,26.2,66.2,81,0.049,3
85,2020,Western North,Bodi,UCC Practice School,private,79,28.3,78.7,89.8,0.031,4
86,2023,Central,Kasoa,Apam SHS,private,29.4,31.6,95.4,91.5,0.037,2
87,2025,Bono,Sunyani,Adisadel College,public,77.5,26.3,76.2,88.9,0.04,3
88,2018,Western,Shama,Adisadel College,mission,95,31.4,70.5,80.8,0.029,5
89,2019,North East,Bunkpurugu,Wesley Girls,private,89.2,25.8,72.2,86.9,0.027,10
90,2025,Western,Tarkwa,Cape Coast Technical University,public,60.1,28.4,59,69.4,0.041,5
91,2019,Western North,Sefwi Wiawso,Apam SHS,mission,56.9,31,63.6,88.6,0.053,6
92,2018,Western,Shama,Adisadel College,private,105.1,30.7,80.7,93.4,0.029,2
93,2019,Upper East,Bolgatanga,UCC Practice School,mission,39.2,26.6,74.3,86.9,0.03,5
94,2019,Western North,Bodi,Ghana National College,public,82.6,27.4,63.4,82.1,0.028,3
95,2022,Savannah,Salaga,UCC Practice School,public,49.8,28.8,78.4,71.6,0.037,1
96,2023,Greater Accra,Accra,St Augustine's College,public,65.8,33.9,74.4,76.3,0.038,2
97,2020,Northern,Tamale,Ghana National College,private,57.3,33.8,82.1,87.2,0.055,5
98,2021,Western North,Bibiani,Mfantsipim School,public,18.4,32.2,71.7,77.1,0.05,4
99,2023,Oti,Kadjebi,UCC Practice School,mission,45.7,31.5,93.6,93.7,0.037,1
100,2022,Eastern,Suhum,Apam SHS,private,62,25.2,66,78.7,0.037,9
101,2019,Ashanti,Kumasi,Adisadel College,mission,38.8,32.4,69.9,77.5,0.038,3
102,2021,Western North,Bibiani,Adisadel College,public,23.9,26,63.7,79.7,0.044,2
103,2019,Ahafo,Goaso,Ghana National College,public,34.7,26.3,72.4,71.4,0.052,1
104,2023,Central,Mfantsiman,Cape Coast Technical University,mission,73,29.9,75.6,73.2,0.033,5
105,2025,Upper East,Navrongo,Mfantsipim School,private,79.6,29,82.5,82.9,0.033,5
106,2025,Greater Accra,Madina,UCC Practice School,public,146.7,28.9,73.8,80,0.055,5
107,2020,Greater Accra,Tema,St Augustine's College,private,20.4,25.5,81.9,83.3,0.041,3
108,2019,Ashanti,Mampong,Ghana National College,public,46.5,27.9,83.3,83.9,0.046,5
109,2018,Western North,Sefwi Wiawso,Cape Coast Technical University,mission,65.4,25.4,71.8,64.5,0.05,6
110,2018,Eastern,Nsawam,Apam SHS,mission,84.8,32.2,66.3,81.4,0.041,4
111,2018,Ahafo,Asutifi South,Wesley Girls,private,48,23.6,77.6,91.2,0.027,8
112,2018,Upper East,Paga,Mfantsipim School,private,63.7,30.6,85.3,81,0.048,6
113,2021,Upper East,Bawku,St Augustine's College,private,59.6,27.9,88.9,88.5,0.043,5
114,2023,Ahafo,Tano North,Mfantsipim School,public,18.7,25.2,61.4,85.1,0.052,1
115,2024,Ashanti,Mampong,UCC Practice School,mission,62.9,30.6,63.4,75.5,0.05,4
116,2018,Central,Mfantsiman,Wesley Girls,public,79,31,64.2,68.3,0.038,4
117,2025,Oti,Kadjebi,Mfantsipim School,private,121.3,28.2,85.2,93.5,0.028,4
118,2019,Oti,Kadjebi,Apam SHS,public,47.5,32.9,86.4,80.6,0.042,7
119,2025,Ashanti,Mampong,Ghana National College,private,50.5,27,75.7,81.9,0.055,6
120,2024,Volta,Kpando,Ghana National College,public,133.3,32.6,75.1,76.5,0.031,7
121,2024,Oti,Jasikan,Mfantsipim School,public,94.2,32.3,81.4,78.9,0.041,3
122,2022,Volta,Hohoe,Adisadel College,private,19.1,24.2,81,79.7,0.03,3
123,2019,Volta,Ho,UCC Practice School,public,34.5,35.6,91.8,91.3,0.054,6
124,2019,Bono,Sunyani,Mfantsipim School,private,46.8,29.6,73.9,87.2,0.051,3
125,2025,Northern,Savelugu,Apam SHS,mission,47.1,30.4,81.9,91,0.042,3
126,2025,Central,Komenda,Apam SHS,private,45.8,25.3,77.5,86.2,0.045,6
127,2025,Volta,Hohoe,Apam SHS,private,62,34.1,85.8,80.7,0.045,4
128,2019,Upper West,Lawra,UCC Practice School,mission,49.2,28.8,82,80.8,0.054,7
129,2019,Bono,Berekum,Ghana National College,public,61.3,27.4,76.3,81.3,0.055,2
130,2022,Central,Cape Coast,St Augustine's College,private,38,29.6,73.1,89.6,0.046,2
131,2024,Bono,Sunyani,Mfantsipim School,public,44.9,28.3,75.2,85.9,0.035,4
132,2024,Savannah,Damongo,Wesley Girls,public,63.3,30.5,67.3,80.6,0.045,4
133,2018,Volta,Ho,Wesley Girls,private,41.4,26,84,88.9,0.043,2
134,2020,Central,Komenda,St Augustine's College,private,31.3,32.4,73.3,74.2,0.049,5
135,2024,Upper West,Wa,St Augustine's College,private,88,32.9,77.5,98,0.052,4
136,2021,Western,Tarkwa,St Augustine's College,private,68.3,30,64.4,74.4,0.045,7
137,2022,Oti,Kadjebi,UCC Practice School,mission,75,30.7,79.4,81.6,0.041,3
138,2022,Eastern,Akim Oda,St Augustine's College,private,25.9,25.6,73.5,76,0.051,2
139,2024,Savannah,Bole,Mfantsipim School,mission,40.3,25.9,98.2,82.9,0.039,6
140,2022,Upper East,Bawku,St Augustine's College,private,67.4,28.9,82,81.4,0.04,3
141,2021,Western North,Sefwi Wiawso,St Augustine's College,public,57.1,26.3,59.8,80,0.027,4
142,2025,Northern,Tamale,Apam SHS,private,63.5,20.7,86.4,87.2,0.028,1
143,2019,Ashanti,Mampong,Adisadel College,public,65.5,30.4,78.4,76.9,0.039,4
144,2023,Western,Shama,Apam SHS,mission,25,33.6,64.9,70.1,0.027,6
145,2025,Western North,Bibiani,Wesley Girls,public,94.4,30.5,66.4,70.3,0.032,5
146,2021,Volta,Kpando,UCC Practice School,mission,102.4,29,67.5,86.3,0.046,7
147,2024,Western North,Bodi,Mfantsipim School,private,35,32.2,89.1,95.2,0.045,4
148,2022,Bono,Wenchi,UCC Practice School,private,40.9,30,66.8,80.6,0.043,4
149,2019,Eastern,Akim Oda,Ghana National College,public,114.9,26.7,76.1,84.3,0.05,3
150,2025,Ashanti,Obuasi,Cape Coast Technical University,public,76.4,26.2,69.3,73.8,0.037,4
151,2022,North East,Nalerigu,Apam SHS,public,101.5,26.1,70.8,83.7,0.046,2
152,2025,Oti,Dambai,Cape Coast Technical University,public,30.4,27.9,80.7,82.1,0.045,4
153,2025,Volta,Hohoe,Adisadel College,mission,35.2,31.1,81.1,63.9,0.046,2
154,2025,Greater Accra,Accra,Adisadel College,mission,49.2,30.1,67.8,72.2,0.046,2
155,2024,Western North,Bodi,Ghana National College,public,74.8,33,59.9,86.2,0.05,7
156,2020,Volta,Hohoe,UCC Practice School,private,47.7,28.5,66.8,85.9,0.044,2
157,2018,Ahafo,Tano North,Adisadel College,public,83.1,26.9,73.4,81.6,0.052,4
158,2018,Central,Komenda,Mfantsipim School,mission,71.5,31.9,81.1,86.5,0.039,4
159,2022,Central,Komenda,Wesley Girls,mission,53.6,27.6,80.9,81.8,0.055,4
160,2019,Volta,Hohoe,UCC Practice School,private,45.3,30,88.7,84.8,0.027,6
161,2020,Ahafo,Goaso,St Augustine's College,mission,51.5,30.6,82.2,83.9,0.03,3
162,2020,Eastern,Koforidua,Adisadel College,public,26.9,35,71.5,74.7,0.029,5
163,2023,Ashanti,Ejisu,Cape Coast Technical University,mission,44.4,27.7,79.4,87.6,0.039,3
164,2019,Bono,Dormaa,Mfantsipim School,public,22.7,32.3,61.4,84.4,0.044,4
165,2019,Central,Kasoa,Adisadel College,private,20.6,28.5,83,88.8,0.039,4
166,2020,Western,Shama,Mfantsipim School,mission,49.6,32.5,82.3,90.5,0.032,4
167,2018,Upper East,Paga,Adisadel College,private,70.1,28,67.5,80.2,0.033,5
168,2018,Western North,Bibiani,Apam SHS,public,54.8,30.8,91.3,80,0.05,4
169,2020,Eastern,Akim Oda,Mfantsipim School,private,140.8,36.2,81.6,85.7,0.028,2
170,2021,Volta,Hohoe,St Augustine's College,public,51.8,25.4,87.6,92.9,0.055,8
171,2020,Savannah,Salaga,UCC Practice School,public,72.7,31.7,84.8,93.1,0.047,2
172,2022,Ashanti,Kumasi,Mfantsipim School,mission,35.9,32.5,72.1,87,0.053,2
173,2023,Bono East,Nkoranza,Ghana National College,mission,67.1,27.8,72.8,83.9,0.032,7
174,2021,Bono,Wenchi,UCC Practice School,mission,24.6,33.4,70.5,92.5,0.043,2
175,2019,Ahafo,Asutifi South,Adisadel College,public,49.1,25.7,57.9,78.6,0.042,1
176,2020,Bono East,Kintampo,St Augustine's College,public,38,31.4,82.2,77.3,0.044,2
177,2024,Eastern,Koforidua,UCC Practice School,public,41.5,30,87.9,83.8,0.049,8
178,2020,Oti,Kadjebi,UCC Practice School,private,15.6,31.5,77,84.1,0.047,5
179,2021,Greater Accra,Madina,Cape Coast Technical University,public,78.8,28.6,100,78.8,0.038,3
180,2020,Eastern,Suhum,Adisadel College,mission,55,31.8,72.2,79.9,0.052,3
181,2022,Upper East,Paga,Mfantsipim School,mission,23.8,32,67.3,86.8,0.027,3
182,2025,Ahafo,Tano North,Adisadel College,private,99.4,23.8,79.1,92.1,0.034,7
183,2018,Central,Mfantsiman,Apam SHS,mission,76.2,27.8,77.1,84.9,0.042,5
184,2020,Central,Mfantsiman,UCC Practice School,public,63.1,29.2,83.8,84.4,0.051,7
185,2018,Eastern,Koforidua,Cape Coast Technical University,public,59.5,28.3,80.1,88,0.038,1
186,2019,Western,Sekondi-Takoradi,Wesley Girls,mission,15.9,30.5,87.9,88.9,0.049,3
187,2019,Central,Cape Coast,Cape Coast Technical University,mission,16,23.7,65.3,72.1,0.034,5
188,2020,Northern,Yendi,Mfantsipim School,public,31.4,28.2,77.2,81.8,0.055,1
189,2019,Eastern,Akim Oda,Cape Coast Technical University,public,85,29.6,73.4,84.8,0.027,2
190,2020,Western,Axim,Apam SHS,public,33.6,29.6,84.5,63.2,0.031,4
191,2018,Savannah,Damongo,Cape Coast Technical University,mission,41.8,26,70.6,80.4,0.027,5
192,2021,Northern,Savelugu,Apam SHS,mission,86.6,34.7,68.4,80.1,0.027,0
193,2020,Bono East,Nkoranza,UCC Practice School,public,40.1,26.5,76.8,88,0.053,2
194,2023,Bono,Sunyani,Mfantsipim School,mission,122.4,29.6,77.4,76.8,0.034,5
195,2025,Upper West,Tumu,Adisadel College,private,79.2,27.6,80.4,85.2,0.033,5
196,2024,Western North,Juaboso,St Augustine's College,mission,23.8,31.6,70.2,68.9,0.034,1
197,2021,Eastern,Akim Oda,Ghana National College,mission,129.7,33,81.5,81.7,0.05,5
198,2018,Ahafo,Asutifi South,St Augustine's College,public,26.9,30,67.8,80.7,0.035,4
199,2018,Oti,Nkwanta South,Ghana National College,mission,24.6,30.5,71.9,72.6,0.044,4
200,2025,Central,Cape Coast,Cape Coast Technical University,public,50.9,27.6,76.2,79.4,0.051,5
201,2024,Ashanti,Ejisu,UCC Practice School,mission,58.2,27.1,85.2,89.3,0.036,8
202,2021,Eastern,Nsawam,Wesley Girls,mission,19.8,22.5,67.4,84.7,0.031,6
203,2023,Western North,Bibiani,Ghana National College,mission,100.6,26.7,82.7,89.3,0.028,3
204,2020,Bono,Dormaa,St Augustine's College,public,37.3,26.6,77,74.3,0.043,3
205,2021,Western North,Sefwi Wiawso,Ghana National College,mission,55.9,30.1,80.9,77.7,0.044,1
206,2020,Upper West,Wa,Ghana National College,mission,59.4,25.5,71.3,80.8,0.052,3
207,2023,Volta,Kpando,Wesley Girls,private,223.3,27,72.6,79.2,0.04,5
208,2020,Northern,Tamale,Ghana National College,public,24.8,31.9,80.4,83.2,0.052,2
209,2025,Ashanti,Obuasi,Adisadel College,public,59.9,26.2,91.3,83.6,0.041,2
210,2025,Ahafo,Asunafo North,UCC Practice School,mission,62.4,25.9,65.2,90.2,0.044,3
211,2021,Greater Accra,Accra,Cape Coast Technical University,mission,98.5,34,70.9,74.6,0.042,5
212,2018,Central,Mfantsiman,Wesley Girls,private,87.5,34.4,71.9,86.4,0.035,5
213,2022,Ahafo,Goaso,UCC Practice School,public,48.1,28.6,78.7,91.7,0.051,5
214,2019,Central,Komenda,Wesley Girls,private,35,31.3,65.2,74.1,0.052,3
215,2022,Bono East,Nkoranza,Adisadel College,public,47.7,30.8,66.1,88.4,0.051,2
216,2018,Ahafo,Asutifi South,UCC Practice School,private,32.9,30.8,92.6,99,0.029,4
217,2019,Western North,Juaboso,Wesley Girls,mission,61.1,27.8,75.3,80.7,0.046,11
218,2024,North East,Nalerigu,Apam SHS,public,72.2,29.7,73,84.8,0.039,2
219,2024,Western North,Bodi,Wesley Girls,public,68.3,29.7,97.1,85.5,0.029,3
220,2023,Bono East,Techiman,St Augustine's College,mission,63.5,30.3,72.8,90.4,0.028,5
221,2023,Oti,Nkwanta South,Cape Coast Technical University,public,172.9,29.4,70.9,70.5,0.047,5
222,2021,Greater Accra,Kasoa East,UCC Practice School,mission,18,29.9,78.5,78.1,0.038,4
223,2024,Eastern,Suhum,St Augustine's College,mission,45.4,27.6,83.8,90.8,0.037,3
224,2022,Northern,Savelugu,Cape Coast Technical University,private,109.3,27.2,62.9,82.8,0.033,3
225,2025,Ahafo,Goaso,Cape Coast Technical University,mission,10,31.5,93.1,89.5,0.044,2
226,2020,Oti,Kadjebi,UCC Practice School,public,77.3,28.8,83.8,91.3,0.031,4
227,2018,Northern,Tamale,Apam SHS,public,32.1,27.3,82.4,73.6,0.026,5
228,2018,North East,Walewale,Cape Coast Technical University,public,52.2,35.6,72.2,87,0.027,4
229,2023,Western,Axim,Mfantsipim School,mission,71,35.1,75.6,84.6,0.037,6
230,2018,Upper West,Tumu,Mfantsipim School,mission,53.8,25.6,82.7,89.8,0.047,4
231,2023,Upper East,Bawku,Wesley Girls,public,84.1,28.3,71.9,79.4,0.044,5
232,2022,Savannah,Bole,UCC Practice School,private,80.7,33.1,84.4,93,0.034,6
233,2020,Central,Mfantsiman,UCC Practice School,mission,114.3,26.6,77,89.2,0.029,4
234,2022,Bono,Dormaa,Wesley Girls,public,47.7,26.7,64.8,78.3,0.037,4
235,2020,Oti,Kadjebi,Cape Coast Technical University,public,18.5,29.5,69.8,77.6,0.053,3
236,2019,Ashanti,Ejisu,UCC Practice School,public,71.4,30.9,71.8,82.7,0.036,4
237,2021,Northern,Tolon,Adisadel College,public,82.2,26.2,74.5,76.6,0.03,7
238,2023,Upper West,Wa,UCC Practice School,public,46.5,31.4,75.9,81.2,0.052,5
239,2025,Volta,Keta,Cape Coast Technical University,public,56.3,33.4,72.1,88.7,0.036,2
240,2018,Bono,Dormaa,Adisadel College,public,63,26.7,71.2,77.1,0.049,2
241,2020,Bono East,Atebubu,Wesley Girls,private,13.2,27.6,76.5,77.1,0.034,3
242,2022,Eastern,Koforidua,Apam SHS,public,66.7,30.9,75.1,91.7,0.052,4
243,2023,Central,Mfantsiman,Ghana National College,public,112.5,27.4,65.1,81.9,0.029,2
244,2024,Eastern,Suhum,St Augustine's College,mission,135.4,22.9,76,85.2,0.034,6
245,2023,Ashanti,Ejisu,Ghana National College,public,43.3,28.5,81.6,85.9,0.048,4
246,2025,Central,Cape Coast,Cape Coast Technical University,public,103.7,28.2,78.1,78.9,0.038,3
247,2023,Bono East,Techiman,Cape Coast Technical University,private,88.9,26.2,72.7,91.4,0.042,0
248,2022,Upper West,Jirapa,St Augustine's College,private,21.9,31.7,80.1,82.6,0.034,4
249,2018,Ahafo,Tano North,Cape Coast Technical University,private,87.8,28.4,79.2,71.7,0.037,5
250,2018,Volta,Ho,Wesley Girls,private,64.2,32.1,80.5,81.8,0.044,4
251,2025,Bono East,Nkoranza,UCC Practice School,public,57,23.2,80.7,93.4,0.049,5
252,2018,Savannah,Salaga,St Augustine's College,private,26.2,22.4,81.2,84.1,0.052,4
253,2019,Ashanti,Ejisu,Mfantsipim School,public,30.3,31.1,66.3,87.8,0.037,5
254,2021,Western,Axim,Apam SHS,public,23.9,24.7,73.7,83.3,0.045,5
255,2023,Greater Accra,Accra,Cape Coast Technical University,private,42.2,25.6,69.6,77.6,0.041,1
256,2020,Greater Accra,Madina,Wesley Girls,private,65.1,26,64.1,75,0.046,11
257,2018,Central,Mfantsiman,Apam SHS,private,33.7,34.1,62,84.8,0.044,5
258,2020,Upper East,Paga,Wesley Girls,public,86.7,30.9,87.8,90.7,0.044,2
259,2022,Ahafo,Tano North,Wesley Girls,public,85.7,23.8,73.8,75,0.039,2
260,2021,Western North,Bibiani,Cape Coast Technical University,mission,39.4,28,89.4,91.8,0.035,4
261,2021,Ahafo,Asutifi South,Adisadel College,public,93.7,28.7,86.4,84.9,0.039,3
262,2020,Western,Shama,Cape Coast Technical University,private,128.3,25.3,69.8,79.7,0.051,7
263,2024,Savannah,Sawla,Wesley Girls,public,51,28,82.2,94.5,0.036,6
264,2022,Greater Accra,Kasoa East,Wesley Girls,private,85.5,26.4,85.5,98.3,0.052,5
265,2025,Oti,Jasikan,Cape Coast Technical University,private,24.3,33.2,76.6,78.8,0.031,1
266,2022,Western,Sekondi-Takoradi,Wesley Girls,private,86.8,28.5,81.6,72,0.043,1
267,2019,Ahafo,Asunafo North,Cape Coast Technical University,mission,56.9,24.5,79.8,85.3,0.03,2
268,2023,Ashanti,Mampong,Cape Coast Technical University,public,73.3,29.4,88.9,93.7,0.039,3
269,2018,Western,Tarkwa,Ghana National College,mission,58.2,30.2,74.7,81.2,0.055,2
270,2022,Bono East,Nkoranza,St Augustine's College,private,40.1,26.9,82.2,81.5,0.045,8
271,2018,Central,Mfantsiman,Mfantsipim School,mission,26.4,30.4,74.3,76.4,0.027,6
272,2018,Savannah,Salaga,Wesley Girls,mission,19.2,29.1,69.6,81.3,0.05,5
273,2024,Ahafo,Goaso,St Augustine's College,mission,68.6,27.4,66.4,71.4,0.041,2
274,2024,Upper West,Lawra,Mfantsipim School,public,53.9,28.2,84.7,84,0.046,5
275,2024,Ahafo,Tano North,St Augustine's College,private,62,28.7,83.6,83.5,0.045,2
276,2020,Bono,Wenchi,Wesley Girls,mission,26.8,20.5,81.9,88.1,0.032,4
277,2023,Ahafo,Asunafo North,St Augustine's College,mission,58.8,28.5,83.5,90.6,0.038,3
278,2018,Bono,Berekum,St Augustine's College,private,67.4,31.6,76.8,80.7,0.033,2
279,2020,Central,Kasoa,St Augustine's College,public,46.5,28,77.4,76.3,0.032,5
280,2024,Upper East,Bawku,Apam SHS,private,43.6,31.8,82.2,77.4,0.043,2
281,2025,Bono,Wenchi,Wesley Girls,private,83.4,25.3,78.8,89.6,0.032,8
282,2021,Upper East,Paga,Adisadel College,public,48.9,24.5,70.8,90.2,0.032,3
283,2022,Oti,Nkwanta South,Adisadel College,private,79,24.9,80.3,77.2,0.045,4
284,2024,North East,Nalerigu,St Augustine's College,mission,44.8,29.5,83.9,97,0.038,3
285,2020,Western North,Bibiani,Cape Coast Technical University,public,58.7,30.1,72.4,93.1,0.032,2
286,2019,Central,Komenda,Cape Coast Technical University,private,42,25.4,76.1,78.1,0.038,4
287,2020,Western,Axim,UCC Practice School,public,40.9,29.4,89.4,86.6,0.043,6
288,2018,Savannah,Sawla,Wesley Girls,mission,62.9,28.2,74.2,86.9,0.044,4
289,2025,Western,Tarkwa,Apam SHS,mission,28.3,28,72.5,81.7,0.053,1
290,2025,Central,Mfantsiman,Apam SHS,public,37.6,27.5,89.8,85.4,0.054,7
291,2024,Eastern,Nsawam,UCC Practice School,public,5.6,29.4,76.7,89.9,0.032,2
292,2019,Upper East,Paga,Cape Coast Technical University,public,37.6,22.8,83.3,89.9,0.041,4
293,2023,Bono East,Kintampo,St Augustine's College,mission,27.2,23.4,66.7,74.7,0.039,4
294,2018,Central,Cape Coast,Adisadel College,mission,47.1,28.4,77.1,86.8,0.049,3
